AMI,bedrooms,hh_size,aff_rent,sub_rent,subsidy,pct
30% AMI,bedroom0,person1,791.25,1055,263.75,0.0625
40% AMI,bedroom0,person1,1055,1318.75,263.75,0.125
50% AMI,bedroom0,person1,1318.75,1582.5,263.75,0.0625
30% AMI,bedroom1,person1,791.25,1055,263.75,0.03125
40% AMI,bedroom1,person1,1055,1318.75,263.75,0.0625
50% AMI,bedroom1,person1,1318.75,1582.5,263.75,0.03125
30% AMI,bedroom1,person2,904.5,1206,301.5,0.03125
40% AMI,bedroom1,person2,1206,1507.5,301.5,0.0625
50% AMI,bedroom1,person2,1507.5,1816.5,309,0.03125
30% AMI,bedroom2,person2,904.5,1206,301.5,0.01875
40% AMI,bedroom2,person2,1206,1507.5,301.5,0.0375
50% AMI,bedroom2,person2,1507.5,1816.5,309,0.01875
30% AMI,bedroom2,person3,1017.75,1357,339.25,0.025
40% AMI,bedroom2,person3,1357,1696.25,339.25,0.05
50% AMI,bedroom2,person3,1696.25,2035.5,339.25,0.025
30% AMI,bedroom2,person4,1130.25,1507,376.75,0.01875
40% AMI,bedroom2,person4,1507,1883.75,376.75,0.0375
50% AMI,bedroom2,person4,1883.75,2256,372.25,0.01875
30% AMI,bedroom3,person3,1017.75,1357,339.25,0.01875
40% AMI,bedroom3,person3,1357,1696.25,339.25,0.0375
50% AMI,bedroom3,person3,1696.25,2035.5,339.25,0.01875
30% AMI,bedroom3,person4,1130.25,1507,376.75,0.025
40% AMI,bedroom3,person4,1507,1883.75,376.75,0.05
50% AMI,bedroom3,person4,1883.75,2256,372.25,0.025
30% AMI,bedroom3,person5,1221,1630.25,409.25,0.01875
40% AMI,bedroom3,person5,1630.25,2035,404.75,0.0375
50% AMI,bedroom3,person5,2035,2436.5,401.5,0.01875
