GEOID,NAME,year,type,bldgs,units,value
51001,Accomack County,2000,1-unit,119,119,13581138
51001,Accomack County,2000,2-units,3,6,216000
51001,Accomack County,2000,3-4 units,2,7,340000
51001,Accomack County,2000,5+ units,0,0,0
51003,Albemarle County,2000,1-unit,549,549,106376143
51003,Albemarle County,2000,2-units,16,32,2301418
51003,Albemarle County,2000,3-4 units,0,0,0
51003,Albemarle County,2000,5+ units,1,6,280770
51005,Alleghany County,2000,1-unit,27,27,2367909
51005,Alleghany County,2000,2-units,0,0,0
51005,Alleghany County,2000,3-4 units,0,0,0
51005,Alleghany County,2000,5+ units,0,0,0
51007,Amelia County,2000,1-unit,69,69,8484573
51007,Amelia County,2000,2-units,0,0,0
51007,Amelia County,2000,3-4 units,0,0,0
51007,Amelia County,2000,5+ units,0,0,0
51009,Amherst County,2000,1-unit,93,93,9449272
51009,Amherst County,2000,2-units,5,10,282000
51009,Amherst County,2000,3-4 units,1,3,100000
51009,Amherst County,2000,5+ units,0,0,0
51011,Appomattox County,2000,1-unit,65,65,5796511
51011,Appomattox County,2000,2-units,0,0,0
51011,Appomattox County,2000,3-4 units,0,0,0
51011,Appomattox County,2000,5+ units,0,0,0
51013,Arlington County,2000,1-unit,59,59,6873635
51013,Arlington County,2000,2-units,11,22,1347050
51013,Arlington County,2000,3-4 units,0,0,0
51013,Arlington County,2000,5+ units,14,730,38025709
51015,Augusta County,2000,1-unit,467,467,52100142
51015,Augusta County,2000,2-units,0,0,0
51015,Augusta County,2000,3-4 units,0,0,0
51015,Augusta County,2000,5+ units,0,0,0
51017,Bath County,2000,1-unit,51,51,8130000
51017,Bath County,2000,2-units,0,0,0
51017,Bath County,2000,3-4 units,0,0,0
51017,Bath County,2000,5+ units,0,0,0
51019,Bedford County,2000,1-unit,468,468,76474194
51019,Bedford County,2000,2-units,0,0,0
51019,Bedford County,2000,3-4 units,0,0,0
51019,Bedford County,2000,5+ units,0,0,0
51021,Bland County,2000,1-unit,54,54,2508001
51021,Bland County,2000,2-units,0,0,0
51021,Bland County,2000,3-4 units,0,0,0
51021,Bland County,2000,5+ units,0,0,0
51023,Botetourt County,2000,1-unit,203,203,27483013
51023,Botetourt County,2000,2-units,0,0,0
51023,Botetourt County,2000,3-4 units,0,0,0
51023,Botetourt County,2000,5+ units,0,0,0
51025,Brunswick County,2000,1-unit,47,47,5504240
51025,Brunswick County,2000,2-units,0,0,0
51025,Brunswick County,2000,3-4 units,0,0,0
51025,Brunswick County,2000,5+ units,0,0,0
51027,Buchanan County,2000,1-unit,17,17,1537990
51027,Buchanan County,2000,2-units,0,0,0
51027,Buchanan County,2000,3-4 units,1,4,100000
51027,Buchanan County,2000,5+ units,0,0,0
51029,Buckingham County,2000,1-unit,53,53,5257220
51029,Buckingham County,2000,2-units,1,2,65000
51029,Buckingham County,2000,3-4 units,0,0,0
51029,Buckingham County,2000,5+ units,0,0,0
51031,Campbell County,2000,1-unit,187,187,23658225
51031,Campbell County,2000,2-units,0,0,0
51031,Campbell County,2000,3-4 units,0,0,0
51031,Campbell County,2000,5+ units,0,0,0
51033,Caroline County,2000,1-unit,97,97,10417856
51033,Caroline County,2000,2-units,0,0,0
51033,Caroline County,2000,3-4 units,0,0,0
51033,Caroline County,2000,5+ units,0,0,0
51035,Carroll County,2000,1-unit,136,136,13479581
51035,Carroll County,2000,2-units,0,0,0
51035,Carroll County,2000,3-4 units,0,0,0
51035,Carroll County,2000,5+ units,3,30,1500000
51036,Charles City County,2000,1-unit,44,44,4279213
51036,Charles City County,2000,2-units,0,0,0
51036,Charles City County,2000,3-4 units,0,0,0
51036,Charles City County,2000,5+ units,0,0,0
51037,Charlotte County,2000,1-unit,90,90,5210076
51037,Charlotte County,2000,2-units,0,0,0
51037,Charlotte County,2000,3-4 units,1,4,80000
51037,Charlotte County,2000,5+ units,0,0,0
51041,Chesterfield County,2000,1-unit,1920,1920,224557559
51041,Chesterfield County,2000,2-units,19,38,2479299
51041,Chesterfield County,2000,3-4 units,0,0,0
51041,Chesterfield County,2000,5+ units,0,0,0
51043,Clarke County,2000,1-unit,101,101,15673868
51043,Clarke County,2000,2-units,0,0,0
51043,Clarke County,2000,3-4 units,0,0,0
51043,Clarke County,2000,5+ units,0,0,0
51045,Craig County,2000,1-unit,42,42,3458513
51045,Craig County,2000,2-units,0,0,0
51045,Craig County,2000,3-4 units,0,0,0
51045,Craig County,2000,5+ units,0,0,0
51047,Culpeper County,2000,1-unit,301,301,34309452
51047,Culpeper County,2000,2-units,1,2,45000
51047,Culpeper County,2000,3-4 units,1,3,112500
51047,Culpeper County,2000,5+ units,5,28,1185624
51049,Cumberland County,2000,1-unit,34,34,3201702
51049,Cumberland County,2000,2-units,0,0,0
51049,Cumberland County,2000,3-4 units,0,0,0
51049,Cumberland County,2000,5+ units,0,0,0
51051,Dickenson County,2000,1-unit,24,24,1186774
51051,Dickenson County,2000,2-units,0,0,0
51051,Dickenson County,2000,3-4 units,0,0,0
51051,Dickenson County,2000,5+ units,0,0,0
51053,Dinwiddie County,2000,1-unit,140,140,14573229
51053,Dinwiddie County,2000,2-units,2,4,400000
51053,Dinwiddie County,2000,3-4 units,0,0,0
51053,Dinwiddie County,2000,5+ units,0,0,0
51057,Essex County,2000,1-unit,41,41,5754454
51057,Essex County,2000,2-units,0,0,0
51057,Essex County,2000,3-4 units,0,0,0
51057,Essex County,2000,5+ units,0,0,0
51059,Fairfax County,2000,1-unit,3818,3818,450558931
51059,Fairfax County,2000,2-units,0,0,0
51059,Fairfax County,2000,3-4 units,0,0,0
51059,Fairfax County,2000,5+ units,66,1998,103924031
51061,Fauquier County,2000,1-unit,533,533,97038776
51061,Fauquier County,2000,2-units,0,0,0
51061,Fauquier County,2000,3-4 units,0,0,0
51061,Fauquier County,2000,5+ units,0,0,0
51063,Floyd County,2000,1-unit,95,95,7808945
51063,Floyd County,2000,2-units,1,2,50000
51063,Floyd County,2000,3-4 units,0,0,0
51063,Floyd County,2000,5+ units,0,0,0
51065,Fluvanna County,2000,1-unit,336,336,40336652
51065,Fluvanna County,2000,2-units,0,0,0
