geography,quarter,name,units,med_price,med_dom,med_asratio
Locality,2014 Q1,Fairfax County,2495,430000,22,0.99109100000000006
Locality,2014 Q1,Virginia Beach City,1156,224838.5,55,0.9864265
Locality,2014 Q1,Prince William County,1132,299250,25,0.996665
Locality,2014 Q1,Loudoun County,1078,424950,19,1
Locality,2014 Q1,Chesterfield County,813,202838,48,0.9875
Locality,2014 Q1,Henrico County,694,197250,35.5,0.982494
Locality,2014 Q1,Chesapeake City,645,213170,57,1
Locality,2014 Q1,Norfolk City,522,162022.5,63,0.980964
Locality,2014 Q1,Arlington County,488,507500,15,0.997124
Locality,2014 Q1,Richmond City,461,175000,42,0.977495
Locality,2014 Q1,Alexandria City,383,448000,21,0.988954
Locality,2014 Q1,Stafford County,365,284200,45,0.994942
Locality,2014 Q1,Newport News City,356,146125,80,0.98289
Locality,2014 Q1,Spotsylvania County,339,217000,46,0.987505
Locality,2014 Q1,Hampton City,279,129909,92,0.979575
Locality,2014 Q1,Portsmouth City,257,120000,66,0.986892
Locality,2014 Q1,Suffolk City,257,215100,67,1
Locality,2014 Q1,Hanover County,252,229500,52.5,0.9872575
Locality,2014 Q1,James City County,238,280500,61,0.98275
Locality,2014 Q1,Roanoke County,237,171000,64,0.974719
Locality,2014 Q1,Roanoke City,223,108500,69,0.96
Locality,2014 Q1,Albemarle County,211,315000,70,0.97298
Locality,2014 Q1,Frederick County,209,192400,44,0.978865
Locality,2014 Q1,Fauquier County,187,290000,46,0.984075
Locality,2014 Q1,Bedford County,185,180000,98,0.968679
Locality,2014 Q1,Augusta County,167,169900,100,0.964975
Locality,2014 Q1,Lynchburg City,155,125500,94,0.965278
Locality,2014 Q1,Montgomery County,154,166880,62,0.9711825
Locality,2014 Q1,York County,123,275000,71,0.979167
Locality,2014 Q1,Warren County,120,165400,52,0.9861905
Locality,2014 Q1,Shenandoah County,118,140000,96,0.9605805
Locality,2014 Q1,Campbell County,113,155900,95,0.973236
Locality,2014 Q1,Rockingham County,112,171500,88.5,0.970167
Locality,2014 Q1,Franklin County,107,159000,105,0.949994
Locality,2014 Q1,Manassas City,106,252500,18,0.9897105
Locality,2014 Q1,Danville City,100,74950,150.5,0.93126
Locality,2014 Q1,Culpeper County,97,239500,50,0.995712
Locality,2014 Q1,Fluvanna County,95,179900,85,0.963655
Locality,2014 Q1,Gloucester County,94,213125,132,0.9765435
Locality,2014 Q1,Charlottesville City,88,270000,54.5,0.9624645
Locality,2014 Q1,Louisa County,83,189900,84,0.976331
Locality,2014 Q1,Orange County,81,183000,77,0.982533
Locality,2014 Q1,Isle of Wight County,81,248000,104,0.981595
Locality,2014 Q1,Staunton City,74,99950,136,0.9223895
Locality,2014 Q1,Caroline County,72,160500,54,0.979462
Locality,2014 Q1,New Kent County,71,220000,57,0.986385
Locality,2014 Q1,Powhatan County,64,213500,51.5,0.978963
Locality,2014 Q1,Fairfax City,61,450000,13,0.988372
Locality,2014 Q1,Goochland County,60,326750,48.5,0.981632
Locality,2014 Q1,Pulaski County,59,113000,78,0.963677
Locality,2014 Q1,Henry County,57,75900,151,0.947105
Locality,2014 Q1,Petersburg City,56,63500,76,0.947985
Locality,2014 Q1,Pittsylvania County,56,86250,174.5,0.920921
Locality,2014 Q1,Botetourt County,56,178500,91.5,0.969053
Locality,2014 Q1,Harrisonburg City,56,165000,86.5,0.965609
Locality,2014 Q1,Greene County,53,195000,76,0.968992
Locality,2014 Q1,King George County,52,232399.5,57.5,0.991401
Locality,2014 Q1,Winchester City,52,172000,59.5,0.9745485
Locality,2014 Q1,Prince George County,50,178250,79,0.9904475
Locality,2014 Q1,Page County,49,140000,126,0.94173
Locality,2014 Q1,Salem City,49,148000,36,0.963636
Locality,2014 Q1,Dinwiddie County,49,145000,75,0.975
Locality,2014 Q1,Waynesboro City,48,139000,71,0.9666985
Locality,2014 Q1,Amherst County,47,117000,83,0.974197
Locality,2014 Q1,Nelson County,46,205000,81.5,0.9452975
Locality,2014 Q1,Hopewell City,44,90150,50,0.9773325
Locality,2014 Q1,Fredericksburg City,43,249900,48,0.973333
Locality,2014 Q1,Westmoreland County,41,148000,102,0.988571
Locality,2014 Q1,Colonial Heights City,40,123150.5,76.5,0.930021
Locality,2014 Q1,Washington County,39,134000,139,0.952775
Locality,2014 Q1,Rockbridge County,36,107500,148,0.947207
Locality,2014 Q1,Middlesex County,36,267500,182.5,0.952327
Locality,2014 Q1,Accomack County,36,155000,221.5,0.9453125
Locality,2014 Q1,King William County,36,185000,103.5,0.960762
Locality,2014 Q1,Manassas Park City,34,223500,29.5,0.997271
Locality,2014 Q1,Halifax County,34,77500,190.5,0.9021965
Locality,2014 Q1,Williamsburg City,33,175500,101,0.962279
Locality,2014 Q1,Falls Church City,31,625000,16,0.992593
Locality,2014 Q1,Prince Edward County,31,127500,140,0.958246
Locality,2014 Q1,Mathews County,29,225000,158,0.936455
Locality,2014 Q1,Clarke County,29,275000,80,0.98153
Locality,2014 Q1,Martinsville City,29,65000,162,0.906817
Locality,2014 Q1,Appomattox County,27,120000,145,0.941987
Locality,2014 Q1,Amelia County,26,132500,48.5,0.972729
Locality,2014 Q1,Carroll County,26,81000,165,0.95117
Locality,2014 Q1,Buckingham County,25,65000,164,0.938462
Locality,2014 Q1,Mecklenburg County,24,98500,206,0.935146
Locality,2014 Q1,Floyd County,22,119950,72.5,0.943609
Locality,2014 Q1,Giles County,22,110750,98.5,0.9579545
Locality,2014 Q1,Northumberland County,21,187000,224,0.918197
Locality,2014 Q1,Wythe County,20,83500,194.5,0.9573465
Locality,2014 Q1,Radford City,18,118200,63,0.970297
Locality,2014 Q1,Madison County,18,174000,131.5,0.958504
Locality,2014 Q1,Smyth County,17,98000,143,0.922222
Locality,2014 Q1,Poquoson City,17,215000,139,0.966018
Locality,2014 Q1,Sussex County,17,62000,104,0.959596
Locality,2014 Q1,Southampton County,17,143000,151,0.975488
Locality,2014 Q1,Lancaster County,16,151500,166.5,0.9232275
Locality,2014 Q1,King and Queen County,16,138500,105.5,0.979367
Locality,2014 Q1,Patrick County,15,86000,183,0.868687
Locality,2014 Q1,Surry County,15,115000,146,0.933333
Locality,2014 Q1,Lexington City,14,218750,200,0.9083545
Locality,2014 Q1,Essex County,13,105000,53,0.941423
Locality,2014 Q1,Cumberland County,13,91901,101,0.979899
Locality,2014 Q1,Richmond County,13,92000,235,0.945455
Locality,2014 Q1,Nottoway County,13,100600,106,0.899083
Locality,2014 Q1,Rappahannock County,12,243750,63.5,0.935143
Locality,2014 Q1,Franklin City,11,75000,78,0.969188
Locality,2014 Q1,Northampton County,10,153450,137,0.895219
Locality,2014 Q1,Charlotte County,10,105000,209,0.895833
Locality,2014 Q1,Tazewell County,9,86000,190,0.92437
Locality,2014 Q1,Buena Vista City,9,50000,95,0.884848
Locality,2014 Q1,Lunenburg County,8,67500,119,0.8840795
Locality,2014 Q1,Alleghany County,8,64750,61.5,0.89479
Locality,2014 Q1,Russell County,7,115000,85,0.83612
