fips,locality,year,tenure,type,estimate,moe
51001,Accomack County,2010,Owner,10 to 19 units,34,52
51001,Accomack County,2010,Owner,2 units,18,22
51001,Accomack County,2010,Owner,20 to 49 units,0,127
51001,Accomack County,2010,Owner,3 or 4 units,0,127
51001,Accomack County,2010,Owner,5 to 9 units,4,6
51001,Accomack County,2010,Owner,50 or more units,0,127
51001,Accomack County,2010,Owner,Mobile (manufactured) home,1875,310
51001,Accomack County,2010,Owner,Other,10,16
51001,Accomack County,2010,Owner,Single-family (attached),101,51
51001,Accomack County,2010,Owner,Single-family (detached),8394,418
51001,Accomack County,2010,Renter,10 to 19 units,130,93
51001,Accomack County,2010,Renter,2 units,85,56
51001,Accomack County,2010,Renter,20 to 49 units,88,85
51001,Accomack County,2010,Renter,3 or 4 units,100,64
51001,Accomack County,2010,Renter,5 to 9 units,87,73
51001,Accomack County,2010,Renter,50 or more units,115,108
51001,Accomack County,2010,Renter,Mobile (manufactured) home,1000,253
51001,Accomack County,2010,Renter,Other,14,22
51001,Accomack County,2010,Renter,Single-family (attached),134,84
51001,Accomack County,2010,Renter,Single-family (detached),1896,308
51001,Accomack County,2011,Owner,10 to 19 units,41,66
51001,Accomack County,2011,Owner,2 units,3,5
51001,Accomack County,2011,Owner,20 to 49 units,17,27
51001,Accomack County,2011,Owner,3 or 4 units,3,5
51001,Accomack County,2011,Owner,5 to 9 units,4,6
51001,Accomack County,2011,Owner,50 or more units,0,95
51001,Accomack County,2011,Owner,Mobile (manufactured) home,1920,301
51001,Accomack County,2011,Owner,Other,11,16
51001,Accomack County,2011,Owner,Single-family (attached),101,53
51001,Accomack County,2011,Owner,Single-family (detached),8099,328
51001,Accomack County,2011,Renter,10 to 19 units,139,95
51001,Accomack County,2011,Renter,2 units,60,40
51001,Accomack County,2011,Renter,20 to 49 units,97,99
51001,Accomack County,2011,Renter,3 or 4 units,112,75
51001,Accomack County,2011,Renter,5 to 9 units,32,26
51001,Accomack County,2011,Renter,50 or more units,96,96
51001,Accomack County,2011,Renter,Mobile (manufactured) home,992,273
51001,Accomack County,2011,Renter,Other,17,29
51001,Accomack County,2011,Renter,Single-family (attached),103,80
51001,Accomack County,2011,Renter,Single-family (detached),1910,318
51001,Accomack County,2012,Owner,10 to 19 units,0,26
51001,Accomack County,2012,Owner,2 units,0,26
51001,Accomack County,2012,Owner,20 to 49 units,14,23
51001,Accomack County,2012,Owner,3 or 4 units,4,6
51001,Accomack County,2012,Owner,5 to 9 units,2,5
51001,Accomack County,2012,Owner,50 or more units,0,26
51001,Accomack County,2012,Owner,Mobile (manufactured) home,1895,305
51001,Accomack County,2012,Owner,Other,0,26
51001,Accomack County,2012,Owner,Single-family (attached),61,35
51001,Accomack County,2012,Owner,Single-family (detached),8094,396
51001,Accomack County,2012,Renter,10 to 19 units,149,97
51001,Accomack County,2012,Renter,2 units,70,40
51001,Accomack County,2012,Renter,20 to 49 units,69,54
51001,Accomack County,2012,Renter,3 or 4 units,80,51
51001,Accomack County,2012,Renter,5 to 9 units,34,23
51001,Accomack County,2012,Renter,50 or more units,79,66
51001,Accomack County,2012,Renter,Mobile (manufactured) home,1264,308
51001,Accomack County,2012,Renter,Other,0,26
51001,Accomack County,2012,Renter,Single-family (attached),116,109
51001,Accomack County,2012,Renter,Single-family (detached),2355,368
51001,Accomack County,2013,Owner,10 to 19 units,8,13
51001,Accomack County,2013,Owner,2 units,0,26
51001,Accomack County,2013,Owner,20 to 49 units,12,20
51001,Accomack County,2013,Owner,3 or 4 units,4,7
51001,Accomack County,2013,Owner,5 to 9 units,3,5
51001,Accomack County,2013,Owner,50 or more units,0,26
51001,Accomack County,2013,Owner,Mobile (manufactured) home,1835,297
51001,Accomack County,2013,Owner,Other,0,26
51001,Accomack County,2013,Owner,Single-family (attached),51,36
51001,Accomack County,2013,Owner,Single-family (detached),8047,423
51001,Accomack County,2013,Renter,10 to 19 units,125,84
51001,Accomack County,2013,Renter,2 units,111,62
51001,Accomack County,2013,Renter,20 to 49 units,83,58
51001,Accomack County,2013,Renter,3 or 4 units,219,132
51001,Accomack County,2013,Renter,5 to 9 units,65,37
51001,Accomack County,2013,Renter,50 or more units,97,86
51001,Accomack County,2013,Renter,Mobile (manufactured) home,1303,353
51001,Accomack County,2013,Renter,Other,0,26
51001,Accomack County,2013,Renter,Single-family (attached),72,58
51001,Accomack County,2013,Renter,Single-family (detached),2298,446
51001,Accomack County,2014,Owner,10 to 19 units,8,13
51001,Accomack County,2014,Owner,2 units,0,25
51001,Accomack County,2014,Owner,20 to 49 units,11,17
51001,Accomack County,2014,Owner,3 or 4 units,4,7
51001,Accomack County,2014,Owner,5 to 9 units,0,25
51001,Accomack County,2014,Owner,50 or more units,0,25
51001,Accomack County,2014,Owner,Mobile (manufactured) home,1884,344
51001,Accomack County,2014,Owner,Other,0,25
51001,Accomack County,2014,Owner,Single-family (attached),55,36
51001,Accomack County,2014,Owner,Single-family (detached),8091,415
51001,Accomack County,2014,Renter,10 to 19 units,91,59
51001,Accomack County,2014,Renter,2 units,92,47
51001,Accomack County,2014,Renter,20 to 49 units,75,60
51001,Accomack County,2014,Renter,3 or 4 units,217,126
51001,Accomack County,2014,Renter,5 to 9 units,79,42
51001,Accomack County,2014,Renter,50 or more units,87,51
51001,Accomack County,2014,Renter,Mobile (manufactured) home,1268,308
