fips,locality,year,tenure,age,estimate,moe
51001,Accomack County,2010,Owner,15 to 24,32,29
51001,Accomack County,2010,Owner,25 to 34,669,158
51001,Accomack County,2010,Owner,35 to 44,1240,206
51001,Accomack County,2010,Owner,45 to 54,2415,203
51001,Accomack County,2010,Owner,55 to 59,1186,233
51001,Accomack County,2010,Owner,60 to 64,1191,212
51001,Accomack County,2010,Owner,65 to 74,1925,158
51001,Accomack County,2010,Owner,75 to 84,1347,144
51001,Accomack County,2010,Owner,85 and over,431,116
51001,Accomack County,2010,Renter,15 to 24,329,121
51001,Accomack County,2010,Renter,25 to 34,644,189
51001,Accomack County,2010,Renter,35 to 44,859,226
51001,Accomack County,2010,Renter,45 to 54,829,206
51001,Accomack County,2010,Renter,55 to 59,362,131
51001,Accomack County,2010,Renter,60 to 64,205,94
51001,Accomack County,2010,Renter,65 to 74,254,123
51001,Accomack County,2010,Renter,75 to 84,137,75
51001,Accomack County,2010,Renter,85 and over,30,26
51001,Accomack County,2011,Owner,15 to 24,12,20
51001,Accomack County,2011,Owner,25 to 34,619,152
51001,Accomack County,2011,Owner,35 to 44,1191,181
51001,Accomack County,2011,Owner,45 to 54,2248,240
51001,Accomack County,2011,Owner,55 to 59,1149,206
51001,Accomack County,2011,Owner,60 to 64,1166,185
51001,Accomack County,2011,Owner,65 to 74,2013,172
51001,Accomack County,2011,Owner,75 to 84,1338,143
51001,Accomack County,2011,Owner,85 and over,463,112
51001,Accomack County,2011,Renter,15 to 24,317,150
51001,Accomack County,2011,Renter,25 to 34,766,191
51001,Accomack County,2011,Renter,35 to 44,882,209
51001,Accomack County,2011,Renter,45 to 54,744,198
51001,Accomack County,2011,Renter,55 to 59,250,109
51001,Accomack County,2011,Renter,60 to 64,254,115
51001,Accomack County,2011,Renter,65 to 74,182,92
51001,Accomack County,2011,Renter,75 to 84,130,58
51001,Accomack County,2011,Renter,85 and over,33,34
51001,Accomack County,2012,Owner,15 to 24,38,46
51001,Accomack County,2012,Owner,25 to 34,624,155
51001,Accomack County,2012,Owner,35 to 44,1177,214
51001,Accomack County,2012,Owner,45 to 54,2246,218
51001,Accomack County,2012,Owner,55 to 59,943,187
51001,Accomack County,2012,Owner,60 to 64,1241,203
51001,Accomack County,2012,Owner,65 to 74,2040,153
51001,Accomack County,2012,Owner,75 to 84,1342,130
51001,Accomack County,2012,Owner,85 and over,419,96
51001,Accomack County,2012,Renter,15 to 24,394,209
51001,Accomack County,2012,Renter,25 to 34,1041,277
51001,Accomack County,2012,Renter,35 to 44,887,217
51001,Accomack County,2012,Renter,45 to 54,852,204
51001,Accomack County,2012,Renter,55 to 59,372,130
51001,Accomack County,2012,Renter,60 to 64,294,133
51001,Accomack County,2012,Renter,65 to 74,220,91
51001,Accomack County,2012,Renter,75 to 84,124,60
51001,Accomack County,2012,Renter,85 and over,32,29
51001,Accomack County,2013,Owner,15 to 24,26,28
51001,Accomack County,2013,Owner,25 to 34,526,155
51001,Accomack County,2013,Owner,35 to 44,1047,198
51001,Accomack County,2013,Owner,45 to 54,2218,213
51001,Accomack County,2013,Owner,55 to 59,968,191
51001,Accomack County,2013,Owner,60 to 64,1294,220
51001,Accomack County,2013,Owner,65 to 74,2174,159
51001,Accomack County,2013,Owner,75 to 84,1297,137
51001,Accomack County,2013,Owner,85 and over,410,101
51001,Accomack County,2013,Renter,15 to 24,396,183
51001,Accomack County,2013,Renter,25 to 34,1223,241
51001,Accomack County,2013,Renter,35 to 44,843,207
51001,Accomack County,2013,Renter,45 to 54,843,204
51001,Accomack County,2013,Renter,55 to 59,417,148
51001,Accomack County,2013,Renter,60 to 64,276,97
51001,Accomack County,2013,Renter,65 to 74,200,107
51001,Accomack County,2013,Renter,75 to 84,151,59
51001,Accomack County,2013,Renter,85 and over,24,21
51001,Accomack County,2014,Owner,15 to 24,32,31
51001,Accomack County,2014,Owner,25 to 34,566,173
51001,Accomack County,2014,Owner,35 to 44,1037,169
51001,Accomack County,2014,Owner,45 to 54,2148,215
51001,Accomack County,2014,Owner,55 to 59,988,187
51001,Accomack County,2014,Owner,60 to 64,1213,187
51001,Accomack County,2014,Owner,65 to 74,2288,133
51001,Accomack County,2014,Owner,75 to 84,1333,109
51001,Accomack County,2014,Owner,85 and over,448,114
51001,Accomack County,2014,Renter,15 to 24,367,195
51001,Accomack County,2014,Renter,25 to 34,1175,247
51001,Accomack County,2014,Renter,35 to 44,828,163
51001,Accomack County,2014,Renter,45 to 54,757,185
51001,Accomack County,2014,Renter,55 to 59,452,162
51001,Accomack County,2014,Renter,60 to 64,285,114
51001,Accomack County,2014,Renter,65 to 74,181,89
51001,Accomack County,2014,Renter,75 to 84,167,75
51001,Accomack County,2014,Renter,85 and over,24,22
51001,Accomack County,2015,Owner,15 to 24,40,50
51001,Accomack County,2015,Owner,25 to 34,553,172
51001,Accomack County,2015,Owner,35 to 44,907,195
51001,Accomack County,2015,Owner,45 to 54,2083,225
51001,Accomack County,2015,Owner,55 to 59,1069,206
51001,Accomack County,2015,Owner,60 to 64,1210,231
51001,Accomack County,2015,Owner,65 to 74,2279,145
51001,Accomack County,2015,Owner,75 to 84,1268,128
51001,Accomack County,2015,Owner,85 and over,510,111
51001,Accomack County,2015,Renter,15 to 24,302,154
51001,Accomack County,2015,Renter,25 to 34,974,245
51001,Accomack County,2015,Renter,35 to 44,948,220
51001,Accomack County,2015,Renter,45 to 54,737,196
51001,Accomack County,2015,Renter,55 to 59,385,140
51001,Accomack County,2015,Renter,60 to 64,231,95
51001,Accomack County,2015,Renter,65 to 74,236,99
51001,Accomack County,2015,Renter,75 to 84,186,73
51001,Accomack County,2015,Renter,85 and over,43,29
51001,Accomack County,2016,Owner,15 to 24,60,46
51001,Accomack County,2016,Owner,25 to 34,455,204
