OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
73596,51059452502,51,059,452502,,,84,7.13999987,1993561.953125,6599.66057492178
73597,51059460701,51,059,460701,,,,,2878919.09375,7368.08724613078
73702,51003011302,51,003,011302,,,96,5.96999979,4815138.06640625,11959.9593683735
73703,51700032114,51,700,032114,,,,,2793525.4453125,7386.94464106782
73704,51700032117,51,700,032117,,,11,0.93000001,4169805.5859375,9140.84142477735
73705,51710001600,51,710,001600,,,47,9.38000011,799497.5546875,5555.6101693074
73706,51197050302,51,197,050302,,,,,351181633.414063,102755.197496672
73707,51710002800,51,710,002800,,,11,1.15999997,2626837.69140625,6790.20800618393
74000,51199050206,51,199,050206,,,,,11297554.3554688,16907.0129225071
74001,51013103501,51,013,103501,,,11,0.58999997,596333.87109375,3643.56669008991
74002,51700030900,51,700,030900,,,109,11.81999969,2686057.39453125,6677.0160736201
74003,51700031100,51,700,031100,,,48,7.23000002,6024515.9296875,18435.8941833268
74004,51810041004,51,810,041004,,,,,2745518.65234375,6944.82353018015
74005,51810043800,51,810,043800,,,,,8499532.85546875,13505.6273189696
74006,51047930202,51,047,930202,,,,,239824506.6875,91886.5626556206
74007,51047930501,51,047,930501,,,,,222378362.824219,87375.8299655539
74008,51047930502,51,047,930502,,,11,1.01999998,144393866.417969,59102.6902114928
74009,51047930101,51,047,930101,,,,,99081448.078125,50042.9903851089
74010,51810041200,51,810,041200,,,,,11032257.4648438,16306.5347174267
74129,51199050500,51,199,050500,,,112,21.95999908,43702897.7734375,33507.0939264931
74130,51199050401,51,199,050401,,,,,27229635.2773438,53899.1309458088
74131,51199050205,51,199,050205,,,,,14609453.5625,33841.5640317282
74132,51087201002,51,087,201002,,,25,5.23000002,4826190.65625,12440.3326634296
74133,51810041400,51,810,041400,,,,,11466197.2148438,15988.3403663813
74134,51810042600,51,810,042600,,,44,7.11000013,4744514.14453125,12730.9217958276
74135,51810046214,51,810,046214,,,,,3123801.8671875,7736.26274120143
74136,51810045805,51,810,045805,,,,,992478.83203125,4404.9320222765
74137,51810046220,51,810,046220,,,178,10.94999981,3464922.78515625,8786.74530704057
74138,51810044004,51,810,044004,,,15,1.63999999,2268812.25390625,7007.36657391982
