DATE,PCES
2000-01-01,4170.6
2000-02-01,4209.1
2000-03-01,4235.7
2000-04-01,4250.2
2000-05-01,4270.7
2000-06-01,4303.6
2000-07-01,4323.4
2000-08-01,4347.6
2000-09-01,4381.5
2000-10-01,4400.6
2000-11-01,4424.0
2000-12-01,4451.0
2001-01-01,4488.9
2001-02-01,4488.0
2001-03-01,4511.3
2001-04-01,4513.8
2001-05-01,4533.8
2001-06-01,4548.8
2001-07-01,4565.3
2001-08-01,4589.0
2001-09-01,4511.0
2001-10-01,4585.8
2001-11-01,4604.8
2001-12-01,4638.1
2002-01-01,4635.3
2002-02-01,4657.5
2002-03-01,4674.7
2002-04-01,4703.6
2002-05-01,4723.7
2002-06-01,4735.8
2002-07-01,4768.2
2002-08-01,4776.6
2002-09-01,4791.3
2002-10-01,4830.4
2002-11-01,4840.3
2002-12-01,4864.3
2003-01-01,4891.6
2003-02-01,4905.3
2003-03-01,4932.6
2003-04-01,4954.4
2003-05-01,4991.7
2003-06-01,5004.6
2003-07-01,5035.3
2003-08-01,5059.7
2003-09-01,5069.0
2003-10-01,5101.2
2003-11-01,5123.0
2003-12-01,5149.4
2004-01-01,5183.7
2004-02-01,5210.4
2004-03-01,5222.5
2004-04-01,5256.3
2004-05-01,5274.9
2004-06-01,5303.1
2004-07-01,5345.0
2004-08-01,5367.5
2004-09-01,5403.5
2004-10-01,5430.4
2004-11-01,5463.9
2004-12-01,5498.0
2005-01-01,5515.2
2005-02-01,5548.7
2005-03-01,5585.5
2005-04-01,5613.2
2005-05-01,5641.9
2005-06-01,5676.1
2005-07-01,5704.3
2005-08-01,5726.2
2005-09-01,5760.3
2005-10-01,5787.1
2005-11-01,5826.5
2005-12-01,5848.8
2006-01-01,5861.9
2006-02-01,5904.6
2006-03-01,5943.4
2006-04-01,5968.5
2006-05-01,6008.5
2006-06-01,6027.8
2006-07-01,6058.3
2006-08-01,6073.2
2006-09-01,6109.5
2006-10-01,6142.2
2006-11-01,6163.8
2006-12-01,6189.3
2007-01-01,6239.0
2007-02-01,6269.9
2007-03-01,6283.1
2007-04-01,6311.3
2007-05-01,6317.8
2007-06-01,6351.6
2007-07-01,6375.7
2007-08-01,6432.0
2007-09-01,6447.4
2007-10-01,6476.7
2007-11-01,6513.2
2007-12-01,6536.9
2008-01-01,6575.4
2008-02-01,6594.9
2008-03-01,6623.9
2008-04-01,6655.0
2008-05-01,6687.9
2008-06-01,6716.1
2008-07-01,6728.9
2008-08-01,6724.6
2008-09-01,6740.1
2008-10-01,6744.6
2008-11-01,6729.8
2008-12-01,6721.2
2009-01-01,6714.0
2009-02-01,6688.1
2009-03-01,6682.8
2009-04-01,6674.1
2009-05-01,6661.0
2009-06-01,6678.0
2009-07-01,6690.4
2009-08-01,6717.2
2009-09-01,6725.2
2009-10-01,6754.3
2009-11-01,6748.6
2009-12-01,6800.8
2010-01-01,6808.5
2010-02-01,6841.7
2010-03-01,6856.9
2010-04-01,6879.3
2010-05-01,6927.9
2010-06-01,6943.5
2010-07-01,6974.5
2010-08-01,6991.2
2010-09-01,6991.3
2010-10-01,7009.3
2010-11-01,7032.7
2010-12-01,7052.5
2011-01-01,7063.8
2011-02-01,7083.4
2011-03-01,7120.3
2011-04-01,7130.8
2011-05-01,7165.9
2011-06-01,7179.0
2011-07-01,7215.4
2011-08-01,7231.2
2011-09-01,7235.2
2011-10-01,7241.6
2011-11-01,7244.2
2011-12-01,7258.1
2012-01-01,7296.4
2012-02-01,7340.0
2012-03-01,7355.4
2012-04-01,7380.5
2012-05-01,7386.8
2012-06-01,7398.8
2012-07-01,7421.8
2012-08-01,7419.1
2012-09-01,7441.8
2012-10-01,7471.9
2012-11-01,7499.1
2012-12-01,7503.9
2013-01-01,7511.9
2013-02-01,7531.4
2013-03-01,7558.7
2013-04-01,7572.7
2013-05-01,7590.2
2013-06-01,7612.0
2013-07-01,7618.0
2013-08-01,7650.8
2013-09-01,7677.8
2013-10-01,7721.5
2013-11-01,7766.2
2013-12-01,7791.6
2014-01-01,7802.1
2014-02-01,7812.5
2014-03-01,7871.1
2014-04-01,7886.5
2014-05-01,7922.6
2014-06-01,7956.1
2014-07-01,7988.8
2014-08-01,8048.5
2014-09-01,8071.9
2014-10-01,8126.7
2014-11-01,8150.4
2014-12-01,8180.0
2015-01-01,8196.8
2015-02-01,8223.1
2015-03-01,8228.1
2015-04-01,8267.5
2015-05-01,8297.8
2015-06-01,8326.7
2015-07-01,8358.8
2015-08-01,8390.3
2015-09-01,8412.9
2015-10-01,8442.1
2015-11-01,8451.4
2015-12-01,8490.3
2016-01-01,8527.9
2016-02-01,8579.0
2016-03-01,8575.1
2016-04-01,8625.1
2016-05-01,8651.0
2016-06-01,8681.9
2016-07-01,8720.4
2016-08-01,8746.5
2016-09-01,8785.1
2016-10-01,8796.0
2016-11-01,8840.3
2016-12-01,8888.5
2017-01-01,8932.1
2017-02-01,8941.4
2017-03-01,8987.9
2017-04-01,8996.5
2017-05-01,9022.7
2017-06-01,9046.3
2017-07-01,9070.7
2017-08-01,9094.8
2017-09-01,9129.8
2017-10-01,9166.7
2017-11-01,9210.5
2017-12-01,9291.4
2018-01-01,9332.7
2018-02-01,9358.6
2018-03-01,9428.0
2018-04-01,9470.9
2018-05-01,9488.6
2018-06-01,9554.8
2018-07-01,9584.6
2018-08-01,9625.8
2018-09-01,9636.9
2018-10-01,9687.9
2018-11-01,9709.4
2018-12-01,9719.5
2019-01-01,9728.4
2019-02-01,9755.5
2019-03-01,9806.1
2019-04-01,9829.8
2019-05-01,9857.3
2019-06-01,9899.9
2019-07-01,9935.0
2019-08-01,9978.2
2019-09-01,10007.8
2019-10-01,10040.6
2019-11-01,10078.3
2019-12-01,10113.5
2020-01-01,10182.7
2020-02-01,10219.8
2020-03-01,9321.3
2020-04-01,8217.6
2020-05-01,8694.5
2020-06-01,9204.4
2020-07-01,9358.1
2020-08-01,9492.6
2020-09-01,9624.5
2020-10-01,9685.7
2020-11-01,9662.5
2020-12-01,9688.7
2021-01-01,9784.7
2021-02-01,9789.4
2021-03-01,10024.5
2021-04-01,10159.7
2021-05-01,10273.6
2021-06-01,10417.6
2021-07-01,10546.9
2021-08-01,10638.1
2021-09-01,10705.5
2021-10-01,10785.8
2021-11-01,10850.6
2021-12-01,10896.4
2022-01-01,10912.2
2022-02-01,11032.4
2022-03-01,11150.2
2022-04-01,11212.6
2022-05-01,11307.0
2022-06-01,11403.5
2022-07-01,11432.1
2022-08-01,11568.9
2022-09-01,11661.2
2022-10-01,11713.7
2022-11-01,11760.9
2022-12-01,11835.0
2023-01-01,11972.1
2023-02-01,12025.9
2023-03-01,12104.2
2023-04-01,12159.0
2023-05-01,12209.7
2023-06-01,12261.0
