DATE,SLEXPND
2000-01-01,1308.322
2000-04-01,1331.564
2000-07-01,1357.309
2000-10-01,1382.641
2001-01-01,1431.089
2001-04-01,1474.849
2001-07-01,1471.828
2001-10-01,1514.621
2002-01-01,1532.342
2002-04-01,1553.559
2002-07-01,1582.503
2002-10-01,1610.674
2003-01-01,1636.051
2003-04-01,1642.363
2003-07-01,1663.239
2003-10-01,1667.326
2004-01-01,1697.33
2004-04-01,1721.429
2004-07-01,1734.256
2004-10-01,1759.737
2005-01-01,1782.113
2005-04-01,1809.18
2005-07-01,1833.199
2005-10-01,1856.749
2006-01-01,1854.928
2006-04-01,1885.099
2006-07-01,1923.026
2006-10-01,1938.372
2007-01-01,2002.398
2007-04-01,2015.315
2007-07-01,2036.596
2007-10-01,2068.534
2008-01-01,2086.054
2008-04-01,2122.496
2008-07-01,2166.001
2008-10-01,2170.063
2009-01-01,2204.432
2009-04-01,2250.725
2009-07-01,2282.601
2009-10-01,2289.732
2010-01-01,2296.729
2010-04-01,2294.304
2010-07-01,2302.049
2010-10-01,2309.327
2011-01-01,2316.426
2011-04-01,2315.224
2011-07-01,2295.735
2011-10-01,2289.454
2012-01-01,2311.51
2012-04-01,2330.649
2012-07-01,2338.908
2012-10-01,2371.137
2013-01-01,2384.623
2013-04-01,2404.638
2013-07-01,2423.239
2013-10-01,2428.325
2014-01-01,2446.219
2014-04-01,2476.307
2014-07-01,2516.743
2014-10-01,2538.136
2015-01-01,2545.644
2015-04-01,2587.273
2015-07-01,2606.294
2015-10-01,2614.265
2016-01-01,2628.657
2016-04-01,2662.763
2016-07-01,2690.994
2016-10-01,2712.633
2017-01-01,2726.151
2017-04-01,2725.915
2017-07-01,2756.022
2017-10-01,2772.674
2018-01-01,2798.305
2018-04-01,2834.2
2018-07-01,2867.998
2018-10-01,2888.461
2019-01-01,2919.843
2019-04-01,2974.394
2019-07-01,3010.459
2019-10-01,3035.183
2020-01-01,3044.729
2020-04-01,3065.343
2020-07-01,3111.958
2020-10-01,3107.241
2021-01-01,3188.36
2021-04-01,3286.373
2021-07-01,3347.47
2021-10-01,3378.063
2022-01-01,3451.054
2022-04-01,3561.153
2022-07-01,3597.193
2022-10-01,3688.858
2023-01-01,3681.946
2023-04-01,3712.232
