DATE,VACONS
2000-01-01,205.4
2000-02-01,205.7
2000-03-01,209.4
2000-04-01,209.1
2000-05-01,208.7
2000-06-01,209.4
2000-07-01,209.6
2000-08-01,210.9
2000-09-01,212.4
2000-10-01,212.9
2000-11-01,214.2
2000-12-01,214.7
2001-01-01,215.4
2001-02-01,217.1
2001-03-01,218.1
2001-04-01,217.7
2001-05-01,218.1
2001-06-01,218.1
2001-07-01,217.9
2001-08-01,217.9
2001-09-01,217.4
2001-10-01,215.4
2001-11-01,215.2
2001-12-01,215.0
2002-01-01,214.5
2002-02-01,215.5
2002-03-01,215.0
2002-04-01,215.0
2002-05-01,214.8
2002-06-01,214.4
2002-07-01,214.0
2002-08-01,213.9
2002-09-01,213.7
2002-10-01,214.2
2002-11-01,213.6
2002-12-01,213.5
2003-01-01,213.2
2003-02-01,211.7
2003-03-01,213.2
2003-04-01,213.8
2003-05-01,216.8
2003-06-01,215.7
2003-07-01,218.2
2003-08-01,219.0
2003-09-01,219.7
2003-10-01,222.0
2003-11-01,222.9
2003-12-01,223.4
2004-01-01,223.9
2004-02-01,224.6
2004-03-01,226.6
2004-04-01,228.0
2004-05-01,229.8
2004-06-01,231.1
2004-07-01,232.2
2004-08-01,232.0
2004-09-01,233.1
2004-10-01,235.3
2004-11-01,236.4
2004-12-01,237.5
2005-01-01,239.5
2005-02-01,239.3
2005-03-01,238.2
2005-04-01,240.3
2005-05-01,241.3
2005-06-01,242.3
2005-07-01,246.5
2005-08-01,247.1
2005-09-01,247.1
2005-10-01,246.1
2005-11-01,247.5
2005-12-01,247.9
2006-01-01,249.7
2006-02-01,251.3
2006-03-01,252.3
2006-04-01,250.9
2006-05-01,251.0
2006-06-01,250.9
2006-07-01,249.0
2006-08-01,248.0
2006-09-01,247.0
2006-10-01,245.4
2006-11-01,244.9
2006-12-01,245.5
2007-01-01,245.0
2007-02-01,242.9
2007-03-01,243.3
2007-04-01,243.3
2007-05-01,242.3
2007-06-01,241.0
2007-07-01,239.3
2007-08-01,238.5
2007-09-01,237.8
2007-10-01,236.1
2007-11-01,234.8
2007-12-01,233.6
2008-01-01,232.8
2008-02-01,231.6
2008-03-01,229.7
2008-04-01,228.5
2008-05-01,226.1
2008-06-01,224.6
2008-07-01,222.8
2008-08-01,220.5
2008-09-01,219.0
2008-10-01,217.0
2008-11-01,213.5
2008-12-01,209.4
2009-01-01,204.0
2009-02-01,199.9
2009-03-01,196.0
2009-04-01,191.2
2009-05-01,190.3
2009-06-01,188.5
2009-07-01,187.1
2009-08-01,186.6
2009-09-01,185.3
2009-10-01,184.9
2009-11-01,184.1
2009-12-01,183.7
2010-01-01,182.4
2010-02-01,177.6
2010-03-01,181.2
2010-04-01,184.6
2010-05-01,185.6
2010-06-01,183.8
2010-07-01,184.4
2010-08-01,184.1
2010-09-01,184.1
2010-10-01,183.6
2010-11-01,183.4
2010-12-01,182.0
2011-01-01,180.6
2011-02-01,180.8
2011-03-01,180.0
2011-04-01,178.6
2011-05-01,178.6
2011-06-01,177.0
2011-07-01,178.9
2011-08-01,178.6
2011-09-01,177.4
2011-10-01,177.0
2011-11-01,176.9
2011-12-01,177.7
2012-01-01,178.3
2012-02-01,178.0
2012-03-01,177.7
2012-04-01,176.7
2012-05-01,176.2
2012-06-01,176.0
2012-07-01,176.1
2012-08-01,175.4
2012-09-01,175.6
2012-10-01,176.7
2012-11-01,176.1
2012-12-01,177.1
2013-01-01,177.9
2013-02-01,179.0
2013-03-01,178.0
2013-04-01,177.2
2013-05-01,176.4
2013-06-01,176.8
2013-07-01,176.6
2013-08-01,176.8
2013-09-01,177.2
2013-10-01,175.8
2013-11-01,176.6
2013-12-01,176.0
2014-01-01,176.8
2014-02-01,176.5
2014-03-01,176.8
2014-04-01,178.7
2014-05-01,178.7
2014-06-01,178.5
2014-07-01,177.8
2014-08-01,178.0
2014-09-01,178.9
2014-10-01,179.2
2014-11-01,180.2
2014-12-01,179.8
2015-01-01,180.5
2015-02-01,181.0
2015-03-01,179.9
2015-04-01,183.1
2015-05-01,185.3
2015-06-01,185.1
2015-07-01,186.1
2015-08-01,186.7
2015-09-01,186.5
2015-10-01,187.2
2015-11-01,187.0
2015-12-01,188.3
2016-01-01,186.9
2016-02-01,185.9
2016-03-01,187.0
2016-04-01,187.7
2016-05-01,187.3
2016-06-01,187.5
2016-07-01,187.6
2016-08-01,187.2
2016-09-01,188.7
2016-10-01,191.0
2016-11-01,190.9
2016-12-01,191.1
2017-01-01,191.1
2017-02-01,191.6
2017-03-01,191.9
2017-04-01,192.5
2017-05-01,192.8
2017-06-01,193.6
