DATE,VAECON
2000-01-01,11328848.0
2000-04-01,11711424.0
2000-07-01,11829960.0
2000-10-01,11947800.0
2001-01-01,12445376.0
2001-04-01,12502732.0
2001-07-01,12537804.0
2001-10-01,12550828.0
2002-01-01,12776180.0
2002-04-01,12794568.0
2002-07-01,12829016.0
2002-10-01,12899588.0
2003-01-01,13075440.0
2003-04-01,13484480.0
2003-07-01,14026560.0
2003-10-01,14761808.0
2004-01-01,15038148.0
2004-04-01,15854832.0
2004-07-01,16371260.0
2004-10-01,16761776.0
2005-01-01,16576284.0
2005-04-01,16983156.0
2005-07-01,17879288.0
2005-10-01,18135864.0
2006-01-01,19395032.0
2006-04-01,18871620.0
2006-07-01,18132304.0
2006-10-01,17847020.0
2007-01-01,17906624.0
2007-04-01,17857984.0
2007-07-01,17363396.0
2007-10-01,17032760.0
2008-01-01,16623012.0
2008-04-01,15901388.0
2008-07-01,15184996.0
2008-10-01,14623680.0
2009-01-01,13679148.0
2009-04-01,13165644.0
2009-07-01,13142080.0
2009-10-01,13170548.0
2010-01-01,13005516.0
2010-04-01,13450556.0
2010-07-01,13598456.0
2010-10-01,13396000.0
2011-01-01,13505352.0
2011-04-01,13746976.0
2011-07-01,13997984.0
2011-10-01,14228696.0
2012-01-01,15010424.0
2012-04-01,15083280.0
2012-07-01,15382576.0
2012-10-01,15752480.0
2013-01-01,15775224.0
2013-04-01,15809968.0
2013-07-01,15874844.0
2013-10-01,15809088.0
2014-01-01,15906912.0
2014-04-01,16347528.0
2014-07-01,16388528.0
2014-10-01,16340044.0
2015-01-01,16517816.0
2015-04-01,17199028.0
2015-07-01,17067884.0
2015-10-01,17024944.0
2016-01-01,16687220.0
2016-04-01,16864744.0
2016-07-01,17124136.0
2016-10-01,17556556.0
2017-01-01,17603888.0
2017-04-01,17622224.0
2017-07-01,18002356.0
2017-10-01,18288252.0
2018-01-01,18247244.0
2018-04-01,18259104.0
2018-07-01,18447396.0
2018-10-01,18775480.0
2019-01-01,19669184.0
2019-04-01,19565288.0
2019-07-01,19921412.0
2019-10-01,19846240.0
2020-01-01,20885504.0
2020-04-01,19392138.0
2020-07-01,20656859.0
2020-10-01,21310951.0
2021-01-01,21395905.0
2021-04-01,21249062.0
2021-07-01,21865379.0
2021-10-01,22697242.0
2022-01-01,23017263.0
2022-04-01,23000821.0
2022-07-01,24042910.0
2022-10-01,24423779.0
2023-01-01,24830910.0
