DATE,VASTHPI
2000-01-01,229.42
2000-04-01,234.16
2000-07-01,238.32
2000-10-01,242.34
2001-01-01,248.45
2001-04-01,254.22
2001-07-01,259.9
2001-10-01,263.49
2002-01-01,268.66
2002-04-01,276.2
2002-07-01,283.27
2002-10-01,287.17
2003-01-01,291.52
2003-04-01,296.25
2003-07-01,303.35
2003-10-01,315.64
2004-01-01,323.7
2004-04-01,336.18
2004-07-01,357.56
2004-10-01,370.01
2005-01-01,384.7
2005-04-01,406.53
2005-07-01,426.09
2005-10-01,438.0
2006-01-01,447.86
2006-04-01,456.27
2006-07-01,459.12
2006-10-01,465.57
2007-01-01,467.6
2007-04-01,468.83
2007-07-01,462.88
2007-10-01,461.71
2008-01-01,459.33
2008-04-01,446.26
2008-07-01,433.97
2008-10-01,430.43
2009-01-01,432.11
2009-04-01,421.29
2009-07-01,411.91
2009-10-01,408.78
2010-01-01,403.3
2010-04-01,400.62
2010-07-01,404.71
2010-10-01,402.51
2011-01-01,393.09
2011-04-01,388.2
2011-07-01,391.5
2011-10-01,394.26
2012-01-01,389.91
2012-04-01,387.37
2012-07-01,392.19
2012-10-01,393.78
2013-01-01,393.34
2013-04-01,397.06
2013-07-01,397.8
2013-10-01,397.73
2014-01-01,399.18
2014-04-01,405.44
2014-07-01,408.42
2014-10-01,411.71
2015-01-01,413.91
2015-04-01,417.45
2015-07-01,419.03
2015-10-01,420.88
2016-01-01,420.05
2016-04-01,427.09
2016-07-01,431.18
2016-10-01,432.92
2017-01-01,432.24
2017-04-01,440.98
2017-07-01,443.55
2017-10-01,445.26
2018-01-01,449.78
2018-04-01,455.17
2018-07-01,457.76
2018-10-01,458.15
2019-01-01,463.34
2019-04-01,472.39
2019-07-01,477.44
2019-10-01,481.01
2020-01-01,486.17
2020-04-01,491.6
2020-07-01,499.83
2020-10-01,509.13
2021-01-01,519.81
2021-04-01,543.82
2021-07-01,568.97
2021-10-01,582.89
2022-01-01,601.52
2022-04-01,642.3
2022-07-01,650.31
2022-10-01,650.74
2023-01-01,657.44
