Year,Quarter,Group,Unit,Inflation Deflator,Real Total Wealth,Real Wealth Share,Real Wealth Per Unit Growth,Real Wealth Per Unit
2000,1,Middle 40%,Adults,0.59040364,1.94313E+13,0.304998477,0,240975.7459
2000,2,Middle 40%,Adults,0.594083847,1.941E+13,0.306921797,-0.004423812,239909.7146
2000,3,Middle 40%,Adults,0.59756557,1.94869E+13,0.308146006,-0.003404188,240155.4192
2000,4,Middle 40%,Adults,0.600810607,1.93857E+13,0.310656807,-0.011353224,238239.8943
2001,1,Middle 40%,Adults,0.604750453,1.91327E+13,0.316831608,-0.027316182,234393.2085
2001,2,Middle 40%,Adults,0.608407773,1.94841E+13,0.316105642,-0.012689377,237917.9139
2001,3,Middle 40%,Adults,0.610797663,1.91239E+13,0.318331506,-0.03367844,232860.0587
2001,4,Middle 40%,Adults,0.612698873,1.93237E+13,0.317789795,-0.026121994,234680.979
2002,1,Middle 40%,Adults,0.614676357,1.97359E+13,0.315288606,-0.008253847,238986.769
2002,2,Middle 40%,Adults,0.616806647,1.94243E+13,0.315864859,-0.026787839,234520.5265
2002,3,Middle 40%,Adults,0.619776827,1.87798E+13,0.319369062,-0.061409728,226177.4909
2002,4,Middle 40%,Adults,0.623334867,1.86653E+13,0.317691493,-0.069427428,224245.4197
2003,1,Middle 40%,Adults,0.62644247,1.8805E+13,0.318649543,-0.065136003,225279.549
2003,2,Middle 40%,Adults,0.6286033,1.93256E+13,0.317193041,-0.042184615,230810.2769
2003,3,Middle 40%,Adults,0.632176597,1.97325E+13,0.315312902,-0.024512893,235068.7332
2003,4,Middle 40%,Adults,0.636070667,2.02692E+13,0.313887869,-0.000616726,240827.13
2004,1,Middle 40%,Adults,0.64056784,2.1068E+13,0.310651037,0.035616515,249558.4622
2004,2,Middle 40%,Adults,0.645714063,2.14482E+13,0.310980318,0.050933716,253249.5361
2004,3,Middle 40%,Adults,0.649860107,2.16627E+13,0.31209839,0.058464499,255064.2722
2004,4,Middle 40%,Adults,0.654884117,2.24025E+13,0.310854961,0.09182631,263103.6595
2005,1,Middle 40%,Adults,0.660099147,2.28179E+13,0.311085052,0.108705772,267171.2004
2005,2,Middle 40%,Adults,0.664901753,2.30836E+13,0.310870382,0.117948894,269398.5685
