jurisdiction,state,type,priority
Autauga County, Alabama,County,Yes
Baldwin County, Alabama,County,No
Barbour County, Alabama,County,No
Bibb County, Alabama,County,No
Blount County, Alabama,County,No
Bullock County, Alabama,County,Yes
Butler County, Alabama,County,Yes
Calhoun County, Alabama,County,No
Chambers County, Alabama,County,No
Cherokee County, Alabama,County,No
Chilton County, Alabama,County,No
Choctaw County, Alabama,County,No
Clarke County, Alabama,County,No
Clay County, Alabama,County,No
Cleburne County, Alabama,County,No
Coffee County, Alabama,County,No
Colbert County, Alabama,County,No
Conecuh County, Alabama,County,No
Coosa County, Alabama,County,No
Covington County, Alabama,County,No
Crenshaw County, Alabama,County,Yes
Cullman County, Alabama,County,Yes
Dale County, Alabama,County,No
Dallas County, Alabama,County,No
DeKalb County, Alabama,County,No
Elmore County, Alabama,County,No
Escambia County, Alabama,County,No
Etowah County, Alabama,County,No
Fayette County, Alabama,County,No
Franklin County, Alabama,County,Yes
Geneva County, Alabama,County,Yes
Greene County, Alabama,County,No
Hale County, Alabama,County,No
Henry County, Alabama,County,No
Houston County, Alabama,County,No
Jackson County, Alabama,County,No
Jefferson County, Alabama,County,No
Lamar County, Alabama,County,No
Lauderdale County, Alabama,County,Yes
Lawrence County, Alabama,County,No
Lee County, Alabama,County,Yes
Limestone County, Alabama,County,Yes
Lowndes County, Alabama,County,No
Macon County, Alabama,County,No
Madison County, Alabama,County,No
Marengo County, Alabama,County,No
Marion County, Alabama,County,No
Marshall County, Alabama,County,Yes
Mobile County, Alabama,County,No
Monroe County, Alabama,County,No
Montgomery County, Alabama,County,Yes
Morgan County, Alabama,County,No
Perry County, Alabama,County,Yes
Pickens County, Alabama,County,Yes
Pike County, Alabama,County,Yes
Randolph County, Alabama,County,No
Russell County, Alabama,County,Yes
St. Clair County, Alabama,County,No
Shelby County, Alabama,County,Yes
Sumter County, Alabama,County,No
Talladega County, Alabama,County,No
Tallapoosa County, Alabama,County,No
Tuscaloosa County, Alabama,County,Yes
Walker County, Alabama,County,No
Washington County, Alabama,County,No
Wilcox County, Alabama,County,No
Winston County, Alabama,County,No
Aleutians East Borough, Alaska,County,No
Aleutians West Census Area, Alaska,County,Yes
Anchorage Municipality, Alaska,County,No
Bethel Census Area, Alaska,County,Yes
Bristol Bay Borough, Alaska,County,Yes
Denali Borough, Alaska,County,Yes
Dillingham Census Area, Alaska,County,Yes
Fairbanks North Star Borough, Alaska,County,Yes
Haines Borough, Alaska,County,Yes
Hoonah-Angoon Census Area, Alaska,County,Yes
Juneau City and Borough, Alaska,County,Yes
Kenai Peninsula Borough, Alaska,County,No
Ketchikan Gateway Borough, Alaska,County,Yes
Kodiak Island Borough, Alaska,County,Yes
Kusilvak Census Area, Alaska,County,Yes
Lake and Peninsula Borough, Alaska,County,Yes
Matanuska-Susitna Borough, Alaska,County,Yes
Nome Census Area, Alaska,County,Yes
North Slope Borough, Alaska,County,Yes
Northwest Arctic Borough, Alaska,County,Yes
Petersburg Borough, Alaska,County,No
Prince of Wales-Hyder Census Area, Alaska,County,Yes
Sitka City and Borough, Alaska,County,Yes
Skagway Municipality, Alaska,County,No
Southeast Fairbanks Census Area, Alaska,County,No
Valdez-Cordova Census Area, Alaska,County,No
Wrangell City and Borough, Alaska,County,No
Yakutat City and Borough, Alaska,County,No
Yukon-Koyukuk Census Area, Alaska,County,Yes
Apache County, Arizona,County,Yes
Cochise County, Arizona,County,No
Coconino County, Arizona,County,Yes
Gila County, Arizona,County,No
Graham County, Arizona,County,No
Greenlee County, Arizona,County,Yes
La Paz County, Arizona,County,No
Maricopa County, Arizona,County,No
Mohave County, Arizona,County,No
Navajo County, Arizona,County,Yes
Pima County, Arizona,County,No
Pinal County, Arizona,County,No
Santa Cruz County, Arizona,County,No
Yavapai County, Arizona,County,Yes
Yuma County, Arizona,County,No
Arkansas County, Arkansas,County,No
Ashley County, Arkansas,County,Yes
Baxter County, Arkansas,County,Yes
Benton County, Arkansas,County,No
Boone County, Arkansas,County,No
Bradley County, Arkansas,County,Yes
Calhoun County, Arkansas,County,Yes
Carroll County, Arkansas,County,No
Chicot County, Arkansas,County,Yes
Clark County, Arkansas,County,No
Clay County, Arkansas,County,No
Cleburne County, Arkansas,County,No
Cleveland County, Arkansas,County,Yes
Columbia County, Arkansas,County,Yes
Conway County, Arkansas,County,Yes
Craighead County, Arkansas,County,No
Crawford County, Arkansas,County,No
Crittenden County, Arkansas,County,No
Cross County, Arkansas,County,No
Dallas County, Arkansas,County,No
Desha County, Arkansas,County,No
Drew County, Arkansas,County,No
Faulkner County, Arkansas,County,Yes
Franklin County, Arkansas,County,No
Fulton County, Arkansas,County,No
Garland County, Arkansas,County,No
Grant County, Arkansas,County,No
Greene County, Arkansas,County,Yes
Hempstead County, Arkansas,County,No
Hot Spring County, Arkansas,County,Yes
Howard County, Arkansas,County,No
Independence County, Arkansas,County,Yes
Izard County, Arkansas,County,Yes
Jackson County, Arkansas,County,No
Jefferson County, Arkansas,County,Yes
Johnson County, Arkansas,County,No
Lafayette County, Arkansas,County,No
Lawrence County, Arkansas,County,Yes
Lee County, Arkansas,County,No
Lincoln County, Arkansas,County,Yes
Little River County, Arkansas,County,No
Logan County, Arkansas,County,No
Lonoke County, Arkansas,County,No
Madison County, Arkansas,County,No
Marion County, Arkansas,County,No
Miller County, Arkansas,County,No
Mississippi County, Arkansas,County,No
Monroe County, Arkansas,County,No
Montgomery County, Arkansas,County,Yes
Nevada County, Arkansas,County,Yes
Newton County, Arkansas,County,Yes
Ouachita County, Arkansas,County,Yes
Perry County, Arkansas,County,No
Phillips County, Arkansas,County,No
Pike County, Arkansas,County,No
Poinsett County, Arkansas,County,Yes
Polk County, Arkansas,County,Yes
Pope County, Arkansas,County,No
Prairie County, Arkansas,County,No
Pulaski County, Arkansas,County,Yes
Randolph County, Arkansas,County,No
St. Francis County, Arkansas,County,No
Saline County, Arkansas,County,Yes
Scott County, Arkansas,County,No
Searcy County, Arkansas,County,No
Sebastian County, Arkansas,County,No
Sevier County, Arkansas,County,Yes
Sharp County, Arkansas,County,No
Stone County, Arkansas,County,Yes
Union County, Arkansas,County,Yes
Van Buren County, Arkansas,County,No
Washington County, Arkansas,County,No
White County, Arkansas,County,No
Woodruff County, Arkansas,County,No
Yell County, Arkansas,County,No
Alameda County, California,County,Yes
Alpine County, California,County,Yes
Amador County, California,County,Yes
Butte County, California,County,Yes
Calaveras County, California,County,Yes
Colusa County, California,County,No
Contra Costa County, California,County,Yes
Del Norte County, California,County,No
El Dorado County, California,County,Yes
Fresno County, California,County,Yes
Glenn County, California,County,No
Humboldt County, California,County,Yes
Imperial County, California,County,Yes
Inyo County, California,County,No
Kern County, California,County,Yes
Kings County, California,County,No
Lake County, California,County,No
Lassen County, California,County,No
Los Angeles County, California,County,Yes
Madera County, California,County,Yes
Marin County, California,County,Yes
Mariposa County, California,County,Yes
Mendocino County, California,County,Yes
Merced County, California,County,Yes
Modoc County, California,County,No
Mono County, California,County,No
Monterey County, California,County,Yes
Napa County, California,County,Yes
Nevada County, California,County,Yes
Orange County, California,County,Yes
Placer County, California,County,Yes
Plumas County, California,County,No
Riverside County, California,County,Yes
Sacramento County, California,County,Yes
San Benito County, California,County,Yes
San Bernardino County, California,County,Yes
San Diego County, California,County,Yes
San Francisco County, California,County,Yes
San Joaquin County, California,County,Yes
San Luis Obispo County, California,County,Yes
San Mateo County, California,County,Yes
Santa Barbara County, California,County,Yes
Santa Clara County, California,County,Yes
Santa Cruz County, California,County,Yes
Shasta County, California,County,Yes
Sierra County, California,County,No
Siskiyou County, California,County,No
Solano County, California,County,Yes
Sonoma County, California,County,Yes
Stanislaus County, California,County,Yes
Sutter County, California,County,No
Tehama County, California,County,No
Trinity County, California,County,Yes
Tulare County, California,County,Yes
Tuolumne County, California,County,Yes
Ventura County, California,County,Yes
Yolo County, California,County,Yes
Yuba County, California,County,No
Adams County, Colorado,County,Yes
Alamosa County, Colorado,County,No
Arapahoe County, Colorado,County,Yes
Archuleta County, Colorado,County,Yes
Baca County, Colorado,County,No
Bent County, Colorado,County,No
Boulder County, Colorado,County,Yes
Broomfield County, Colorado,County,Yes
Chaffee County, Colorado,County,Yes
Cheyenne County, Colorado,County,No
Clear Creek County, Colorado,County,Yes
Conejos County, Colorado,County,No
Costilla County, Colorado,County,No
Crowley County, Colorado,County,No
Custer County, Colorado,County,Yes
Delta County, Colorado,County,No
Denver County, Colorado,County,Yes
Dolores County, Colorado,County,No
Douglas County, Colorado,County,Yes
Eagle County, Colorado,County,No
Elbert County, Colorado,County,Yes
El Paso County, Colorado,County,Yes
Fremont County, Colorado,County,No
Garfield County, Colorado,County,Yes
Gilpin County, Colorado,County,Yes
Grand County, Colorado,County,No
Gunnison County, Colorado,County,Yes
Hinsdale County, Colorado,County,No
Huerfano County, Colorado,County,No
Jackson County, Colorado,County,Yes
Jefferson County, Colorado,County,Yes
Kiowa County, Colorado,County,No
Kit Carson County, Colorado,County,No
Lake County, Colorado,County,No
La Plata County, Colorado,County,Yes
Larimer County, Colorado,County,Yes
Las Animas County, Colorado,County,No
Lincoln County, Colorado,County,Yes
Logan County, Colorado,County,No
Mesa County, Colorado,County,No
Mineral County, Colorado,County,Yes
Moffat County, Colorado,County,No
Montezuma County, Colorado,County,No
Montrose County, Colorado,County,No
Morgan County, Colorado,County,No
Otero County, Colorado,County,No
Ouray County, Colorado,County,Yes
Park County, Colorado,County,Yes
Phillips County, Colorado,County,Yes
Pitkin County, Colorado,County,No
Prowers County, Colorado,County,No
Pueblo County, Colorado,County,No
Rio Blanco County, Colorado,County,No
Rio Grande County, Colorado,County,No
Routt County, Colorado,County,Yes
Saguache County, Colorado,County,No
San Juan County, Colorado,County,No
San Miguel County, Colorado,County,Yes
Sedgwick County, Colorado,County,No
Summit County, Colorado,County,Yes
Teller County, Colorado,County,Yes
Washington County, Colorado,County,Yes
Weld County, Colorado,County,Yes
Yuma County, Colorado,County,Yes
Fairfield County, Connecticut,County,Yes
Hartford County, Connecticut,County,Yes
Litchfield County, Connecticut,County,No
Middlesex County, Connecticut,County,No
New Haven County, Connecticut,County,No
New London County, Connecticut,County,No
Tolland County, Connecticut,County,No
Windham County, Connecticut,County,No
Kent County, Delaware,County,Yes
New Castle County, Delaware,County,Yes
Sussex County, Delaware,County,Yes
District of Columbia, District of Columbia,County,Yes
Alachua County, Florida,County,No
Baker County, Florida,County,No
Bay County, Florida,County,No
Bradford County, Florida,County,No
Brevard County, Florida,County,No
Broward County, Florida,County,Yes
Calhoun County, Florida,County,Yes
Charlotte County, Florida,County,No
Citrus County, Florida,County,No
Clay County, Florida,County,No
Collier County, Florida,County,Yes
Columbia County, Florida,County,No
DeSoto County, Florida,County,No
Dixie County, Florida,County,No
Duval County, Florida,County,No
Escambia County, Florida,County,No
Flagler County, Florida,County,Yes
Franklin County, Florida,County,No
Gadsden County, Florida,County,No
Gilchrist County, Florida,County,No
Glades County, Florida,County,No
Gulf County, Florida,County,No
Hamilton County, Florida,County,No
Hardee County, Florida,County,No
Hendry County, Florida,County,No
