pdc,jurisdiction,county,type
Accomack-Northampton,Accomac town,Accomack County,town
Mount Rogers,Bristol city,Bristol city,city
Central Shenandoah,Buena Vista city,Buena Vista city,city
Thomas Jefferson,Charlottesville city,Charlottesville city,city
Accomack-Northampton,Accomack County,Accomack County,county
Crater,Colonial Heights city,Colonial Heights city,city
Roanoke Valley-Alleghany,Covington city,Covington city,city
West Piedmont,Danville city,Danville city,city
Crater,Emporia city,Emporia city,city
Crater,Hopewell city,Hopewell city,city
Crater,Petersburg city,Petersburg city,city
Accomack-Northampton,Belle Haven town,Northampton County,town
George Washington,Fredericksburg city,Fredericksburg city,city
Mount Rogers,Galax city,Galax city,city
Accomack-Northampton,Bloxom town,Accomack County,town
Central Shenandoah,Harrisonburg city,Harrisonburg city,city
Crater,Dinwiddie County,Dinwiddie County,county
Central Shenandoah,Lexington city,Lexington city,city
Central Virginia,Lynchburg city,Lynchburg city,city
Crater,Greensville County,Greensville County,county
Crater,Prince George County,Prince George County,county
West Piedmont,Martinsville city,Martinsville city,city
Accomack-Northampton,Cape Charles town,Northampton County,town
Crater,Sussex County,Sussex County,county
Lenowisco,Norton city,Norton city,city
Crater,Jarratt town,Greensville County,town
Accomack-Northampton,Cheriton town,Northampton County,town
Crater,McKenney town,Dinwiddie County,town
Accomack-Northampton,Chincoteague town,Accomack County,town
Crater,Stony Creek town,Sussex County,town
Roanoke Valley-Alleghany,Roanoke city,Roanoke city,city
Roanoke Valley-Alleghany,Salem city,Salem city,city
Central Shenandoah,Staunton city,Staunton city,city
Crater,Wakefield town,Sussex County,town
Crater,Waverly town,Sussex County,town
Central Shenandoah,Waynesboro city,Waynesboro city,city
Hampton Roads,Boykins,Southampton County,town
Northern Shenandoah,Winchester city,Winchester city,city
Hampton Roads,Branchville,Southampton County,town
Thomas Jefferson,Albemarle County,Albemarle County,county
Roanoke Valley-Alleghany,Alleghany County,Alleghany County,county
Commonwealth Regional Council,Amelia County,Amelia County,county
Central Virginia,Amherst County,Amherst County,county
Central Virginia,Appomattox County,Appomattox County,county
Accomack-Northampton,Eastville town,Northampton County,town
Central Shenandoah,Augusta County,Augusta County,county
Central Shenandoah,Bath County,Bath County,county
Central Virginia,Bedford County,Bedford County,county
Mount Rogers,Bland County,Bland County,county
Roanoke Valley-Alleghany,Botetourt County,Botetourt County,county
Southside,Brunswick County,Brunswick County,county
Cumberland Plateau,Buchanan County,Buchanan County,county
Commonwealth Regional Council,Buckingham County,Buckingham County,county
Central Virginia,Campbell County,Campbell County,county
George Washington,Caroline County,Caroline County,county
Mount Rogers,Carroll County,Carroll County,county
Accomack-Northampton,Exmore town,Northampton County,town
Commonwealth Regional Council,Charlotte County,Charlotte County,county
Hampton Roads,Capron,Southampton County,town
Northern Shenandoah,Clarke County,Clarke County,county
Roanoke Valley-Alleghany,Craig County,Craig County,county
Rappahannock-Rapidan,Culpeper County,Culpeper County,county
Commonwealth Regional Council,Cumberland County,Cumberland County,county
Cumberland Plateau,Dickenson County,Dickenson County,county
Hampton Roads,Chesapeake,Chesapeake city,city
Middle Peninsula,Essex County,Essex County,county
Hampton Roads,Claremont,Surry County,town
Rappahannock-Rapidan,Fauquier County,Fauquier County,county
Hampton Roads,Courtland,Southampton County,town
Thomas Jefferson,Fluvanna County,Fluvanna County,county
Roanoke Valley-Alleghany/West Piedmont,Franklin County,Franklin County,county
Northern Shenandoah,Frederick County,Frederick County,county
Hampton Roads,Dendron,Surry County,town
Hampton Roads,Franklin (city),Franklin city,city
Accomack-Northampton,Hallwood town,Accomack County,town
Mount Rogers,Grayson County,Grayson County,county
Thomas Jefferson,Greene County,Greene County,county
Hampton Roads,Gloucester,Gloucester County,county
Southside,Halifax County,Halifax County,county
Hampton Roads,Hampton,Hampton city,city
Hampton Roads,Isle of Wight,Isle of Wight County,county
West Piedmont,Henry County,Henry County,county
Central Shenandoah,Highland County,Highland County,county
New River Valley,Floyd County,Floyd County,county
New River Valley,Floyd town,Floyd County,town
Middle Peninsula,King and Queen County,King and Queen County,county
George Washington,King George County,King George County,county
Middle Peninsula,King William County,King William County,county
Northern Neck,Lancaster County,Lancaster County,county
Lenowisco,Lee County,Lee County,county
New River Valley,Giles County,Giles County,county
Thomas Jefferson,Louisa County,Louisa County,county
Commonwealth Regional Council,Lunenburg County,Lunenburg County,county
Rappahannock-Rapidan,Madison County,Madison County,county
Middle Peninsula,Mathews County,Mathews County,county
Southside,Mecklenburg County,Mecklenburg County,county
Middle Peninsula,Middlesex County,Middlesex County,county
New River Valley,Glen Lyn town,Giles County,town
Thomas Jefferson,Nelson County,Nelson County,county
New River Valley,Narrows town,Giles County,town
Hampton Roads,Ivor,Southampton County,town
Northern Neck,Northumberland County,Northumberland County,county
Commonwealth Regional Council,Nottoway County,Nottoway County,county
Rappahannock-Rapidan,Orange County,Orange County,county
Northern Shenandoah,Page County,Page County,county
West Piedmont,Patrick County,Patrick County,county
West Piedmont,Pittsylvania County,Pittsylvania County,county
New River Valley,Pearisburg town,Giles County,town
Commonwealth Regional Council,Prince Edward County,Prince Edward County,county
Hampton Roads,James City,James City County,county
New River Valley,Pembroke town,Giles County,town
New River Valley,Rich Creek town,Giles County,town
