NHGISCODE,GISJOIN,SOURCE,YEAR,STATE,STATEFP,STATENH,PLACE,PLACEA,White,Black,American Indian and Alaska Native,Asian and Pacific Islander and Other Race,Two or more races,White (MOE),Black (MOE),American Indian and Alaska Native (MOE),Asian and Pacific Islander and Other Race (MOE),Two or more races (MOE)
G24020775,G2400240,Census,1970,Maryland,24,240,Crisfield city,20775,2132,946,0,0,NA,NA,NA,NA,NA,NA
G24020775,G2400240,Census,1980,Maryland,24,240,Crisfield city,20775,2007,903,0,18,NA,NA,NA,NA,NA,NA
G24020775,G24020775,Census,1990,Maryland,24,240,Crisfield city,20775,1837,1025,3,15,NA,NA,NA,NA,NA,NA
G24020775,G24020775,Census,2000,Maryland,24,240,Crisfield city,20775,1594,1020,11,25,73,NA,NA,NA,NA,NA
G24020775,G24020775,Census,2010,Maryland,24,240,Crisfield city,20775,1608,992,15,49,62,NA,NA,NA,NA,NA
G24020775,G24020775,ACS,2006-2010,Maryland,24,240,Crisfield city,20775,1706,866,0,110,74,178,187,127,191,60
G24020775,G24020775,ACS,2007-2011,Maryland,24,240,Crisfield city,20775,1637,943,0,100,61,265,263,95,146,51
G24020775,G24020775,ACS,2008-2012,Maryland,24,240,Crisfield city,20775,1725,839,0,83,69,242,236,12,78,70
G24020775,G24020775,ACS,2009-2013,Maryland,24,240,Crisfield city,20775,1775,857,0,19,53,260,260,12,28,43
G24020775,G24020775,ACS,2010-2014,Maryland,24,240,Crisfield city,20775,1509,1033,0,46,110,240,234,12,59,67
G24020775,G24020775,ACS,2011-2015,Maryland,24,240,Crisfield city,20775,1460,917,0,229,79,288,231,12,214,49
G24020775,G24020775,ACS,2012-2016,Maryland,24,240,Crisfield city,20775,1477,833,0,244,105,237,220,12,213,90
G24020775,G24020775,ACS,2013-2017,Maryland,24,240,Crisfield city,20775,1373,923,0,239,80,214,194,12,217,46
G24020775,G24020775,ACS,2014-2018,Maryland,24,240,Crisfield city,20775,1378,964,0,180,71,227,206,12,182,48
G24020775,G24020775,ACS,2015-2019,Maryland,24,240,Crisfield city,20775,1545,941,0,69,46,166,179,12,103,48
G24020775,G24020775,Census,2020,Maryland,24,240,Crisfield city,20775,1427,808,13,103,124,NA,NA,NA,NA,NA
G24020775,G24020775,ACS,2016-2020,Maryland,24,240,Crisfield city,20775,1548,852,0,4,168,261,220,13,20,148
G24020775,G24020775,ACS,2017-2021,Maryland,24,240,Crisfield city,20775,1471,777,0,128,157,349,242,13,109,181
G24020775,G24020775,ACS,2018-2022,Maryland,24,240,Crisfield city,20775,1369,855,0,92,129,402,334,13,92,120
