GISJOIN,YEAR,STATE,STATEFP,COUNTY,COUNTYFP,TOTAL
G2400390,1790,Maryland,24,Somerset County,039,15610
G2400390,1800,Maryland,24,Somerset County,039,17358
G2400390,1810,Maryland,24,Somerset County,039,17195
G2400390,1820,Maryland,24,Somerset County,039,19579
G2400390,1830,Maryland,24,Somerset County,039,20166
G2400390,1840,Maryland,24,Somerset County,039,19508
G2400390,1850,Maryland,24,Somerset County,039,22456
G2400390,1860,Maryland,24,Somerset County,039,24992
G2400390,1870,Maryland,24,Somerset County,039,18190
G2400390,1880,Maryland,24,Somerset County,039,21668
G2400390,1890,Maryland,24,Somerset County,039,24155
G2400390,1900,Maryland,24,Somerset County,039,25923
G2400390,1910,Maryland,24,Somerset County,039,26455
G2400390,1920,Maryland,24,Somerset County,039,24602
G2400390,1930,Maryland,24,Somerset County,039,23382
G2400390,1940,Maryland,24,Somerset County,039,20965
G2400390,1950,Maryland,24,Somerset County,039,20745
G2400390,1960,Maryland,24,Somerset County,039,19623
G2400390,1970,Maryland,24,Somerset County,039,18924
G2400390,1980,Maryland,24,Somerset County,039,19188
G2400390,1990,Maryland,24,Somerset County,039,23440
G2400390,2000,Maryland,24,Somerset County,039,24747
G2400390,2010,Maryland,24,Somerset County,039,26470
G2400390,2020,Maryland,24,Somerset County,039,24620
