state,week_filed,claims_initial,week_ending,claims_continued,covered_emp,ins_unemp_rate
Virginia,1/1/2000,"6,769",12/25/1999,"21,856","3,108,270",0.7
Virginia,1/8/2000,"12,281",1/1/2000,"36,086","3,129,038",1.15
Virginia,1/15/2000,"7,285",1/8/2000,"32,744","3,129,038",1.05
Virginia,1/22/2000,"4,489",1/15/2000,"28,099","3,129,038",0.9
Virginia,1/29/2000,"5,771",1/22/2000,"26,244","3,129,038",0.84
Virginia,2/5/2000,"6,745",1/29/2000,"29,603","3,129,038",0.95
Virginia,2/12/2000,"4,732",2/5/2000,"28,449","3,129,038",0.91
Virginia,2/19/2000,"3,543",2/12/2000,"29,856","3,129,038",0.95
Virginia,2/26/2000,"3,165",2/19/2000,"26,026","3,129,038",0.83
Virginia,3/4/2000,"3,386",2/26/2000,"27,258","3,129,038",0.87
Virginia,3/11/2000,"3,352",3/4/2000,"24,918","3,129,038",0.8
Virginia,3/18/2000,"3,187",3/11/2000,"24,424","3,129,038",0.78
Virginia,3/25/2000,"3,414",3/18/2000,"23,117","3,129,038",0.74
Virginia,4/1/2000,"3,140",3/25/2000,"23,014","3,129,038",0.74
Virginia,4/8/2000,"3,222",4/1/2000,"21,650","3,150,654",0.69
Virginia,4/15/2000,"2,687",4/8/2000,"21,439","3,150,654",0.68
Virginia,4/22/2000,"2,755",4/15/2000,"19,915","3,150,654",0.63
Virginia,4/29/2000,"3,309",4/22/2000,"20,565","3,150,654",0.65
Virginia,5/6/2000,"3,638",4/29/2000,"20,286","3,150,654",0.64
Virginia,5/13/2000,"3,244",5/6/2000,"19,460","3,150,654",0.62
Virginia,5/20/2000,"3,173",5/13/2000,"19,178","3,150,654",0.61
Virginia,5/27/2000,"3,120",5/20/2000,"19,003","3,150,654",0.6
Virginia,6/3/2000,"2,954",5/27/2000,"18,803","3,150,654",0.6
Virginia,6/10/2000,"3,641",6/3/2000,"19,585","3,150,654",0.62
Virginia,6/17/2000,"3,764",6/10/2000,"19,342","3,150,654",0.61
Virginia,6/24/2000,"4,012",6/17/2000,"18,703","3,150,654",0.59
Virginia,7/1/2000,"8,131",6/24/2000,"19,847","3,150,654",0.63
Virginia,7/8/2000,"5,713",7/1/2000,"19,093","3,175,169",0.6
Virginia,7/15/2000,"6,972",7/8/2000,"25,886","3,175,169",0.82
Virginia,7/22/2000,"6,592",7/15/2000,"26,211","3,175,169",0.83
Virginia,7/29/2000,"4,764",7/22/2000,"22,555","3,175,169",0.71
Virginia,8/5/2000,"4,953",7/29/2000,"20,297","3,175,169",0.64
Virginia,8/12/2000,"4,290",8/5/2000,"21,775","3,175,169",0.69
Virginia,8/19/2000,"4,033",8/12/2000,"20,491","3,175,169",0.65
Virginia,8/26/2000,"4,807",8/19/2000,"19,599","3,175,169",0.62
Virginia,9/2/2000,"3,879",8/26/2000,"18,224","3,175,169",0.57
Virginia,9/9/2000,"3,025",9/2/2000,"20,130","3,175,169",0.63
Virginia,9/16/2000,"3,134",9/9/2000,"18,650","3,175,169",0.59
Virginia,9/23/2000,"3,856",9/16/2000,"18,444","3,175,169",0.58
Virginia,9/30/2000,"4,374",9/23/2000,"17,919","3,175,169",0.56
Virginia,10/7/2000,"4,847",9/30/2000,"18,143","3,200,945",0.57
Virginia,10/14/2000,"4,762",10/7/2000,"17,810","3,200,945",0.56
Virginia,10/21/2000,"3,347",10/14/2000,"17,679","3,200,945",0.55
Virginia,10/28/2000,"3,887",10/21/2000,"18,974","3,200,945",0.59
Virginia,11/4/2000,"5,037",10/28/2000,"18,776","3,200,945",0.59
Virginia,11/11/2000,"3,358",11/4/2000,"19,396","3,200,945",0.61
Virginia,11/18/2000,"5,240",11/11/2000,"18,992","3,200,945",0.59
Virginia,11/25/2000,"4,899",11/18/2000,"17,595","3,200,945",0.55
Virginia,12/2/2000,"6,683",11/25/2000,"28,845","3,200,945",0.9
Virginia,12/9/2000,"5,891",12/2/2000,"22,523","3,200,945",0.7
Virginia,12/16/2000,"7,538",12/9/2000,"21,618","3,200,945",0.68
Virginia,12/23/2000,"10,743",12/16/2000,"21,320","3,200,945",0.67
Virginia,12/30/2000,"9,925",12/23/2000,"24,982","3,200,945",0.78
Virginia,1/6/2001,"12,509",12/30/2000,"39,135","3,200,945",1.22
Virginia,1/13/2001,"11,884",1/6/2001,"40,033","3,226,056",1.24
Virginia,1/20/2001,"6,120",1/13/2001,"32,111","3,226,056",1
Virginia,1/27/2001,"6,548",1/20/2001,"31,515","3,226,056",0.98
Virginia,2/3/2001,"7,822",1/27/2001,"32,335","3,226,056",1
Virginia,2/10/2001,"5,652",2/3/2001,"32,027","3,226,056",0.99
Virginia,2/17/2001,"5,769",2/10/2001,"31,022","3,226,056",0.96
Virginia,2/24/2001,"5,464",2/17/2001,"31,374","3,226,056",0.97
Virginia,3/3/2001,"8,056",2/24/2001,"31,834","3,226,056",0.99
Virginia,3/10/2001,"5,225",3/3/2001,"32,939","3,226,056",1.02
Virginia,3/17/2001,"5,036",3/10/2001,"32,775","3,226,056",1.02
Virginia,3/24/2001,"5,978",3/17/2001,"32,017","3,226,056",0.99
Virginia,3/31/2001,"5,360",3/24/2001,"30,622","3,226,056",0.95
Virginia,4/7/2001,"7,204",3/31/2001,"32,233","3,226,056",1
Virginia,4/14/2001,"5,183",4/7/2001,"28,961","3,249,840",0.89
Virginia,4/21/2001,"5,466",4/14/2001,"28,994","3,249,840",0.89
Virginia,4/28/2001,"5,459",4/21/2001,"31,535","3,249,840",0.97
Virginia,5/5/2001,"5,493",4/28/2001,"30,486","3,249,840",0.94
Virginia,5/12/2001,"4,834",5/5/2001,"28,503","3,249,840",0.88
Virginia,5/19/2001,"5,890",5/12/2001,"30,100","3,249,840",0.93
Virginia,5/26/2001,"5,751",5/19/2001,"29,820","3,249,840",0.92
Virginia,6/2/2001,"4,090",5/26/2001,"30,527","3,249,840",0.94
Virginia,6/9/2001,"7,139",6/2/2001,"31,683","3,249,840",0.97
Virginia,6/16/2001,"6,325",6/9/2001,"31,159","3,249,840",0.96
Virginia,6/23/2001,"5,842",6/16/2001,"30,446","3,249,840",0.94
Virginia,6/30/2001,"10,695",6/23/2001,"31,757","3,249,840",0.98
Virginia,7/7/2001,"9,674",6/30/2001,"33,152","3,249,840",1.02
Virginia,7/14/2001,"10,160",7/7/2001,"40,016","3,273,436",1.22
Virginia,7/21/2001,"7,837",7/14/2001,"39,785","3,273,436",1.22
Virginia,7/28/2001,"4,884",7/21/2001,"34,514","3,273,436",1.05
Virginia,8/4/2001,"5,480",7/28/2001,"32,506","3,273,436",0.99
Virginia,8/11/2001,"5,487",8/4/2001,"32,676","3,273,436",1
Virginia,8/18/2001,"4,868",8/11/2001,"33,400","3,273,436",1.02
Virginia,8/25/2001,"5,541",8/18/2001,"33,290","3,273,436",1.02
Virginia,9/1/2001,"5,601",8/25/2001,"30,228","3,273,436",0.92
Virginia,9/8/2001,"5,734",9/1/2001,"30,588","3,273,436",0.93
Virginia,9/15/2001,"8,029",9/8/2001,"33,053","3,273,436",1.01
Virginia,9/22/2001,"6,090",9/15/2001,"32,109","3,273,436",0.98
Virginia,9/29/2001,"8,673",9/22/2001,"33,833","3,273,436",1.03
Virginia,10/6/2001,"9,712",9/29/2001,"35,712","3,273,436",1.09
Virginia,10/13/2001,"8,117",10/6/2001,"36,465","3,289,764",1.11
Virginia,10/20/2001,"7,492",10/13/2001,"37,665","3,289,764",1.14
Virginia,10/27/2001,"9,255",10/20/2001,"38,450","3,289,764",1.17
Virginia,11/3/2001,"7,444",10/27/2001,"38,707","3,289,764",1.18
Virginia,11/10/2001,"7,691",11/3/2001,"42,232","3,289,764",1.28
Virginia,11/17/2001,"8,251",11/10/2001,"41,660","3,289,764",1.27
Virginia,11/24/2001,"9,376",11/17/2001,"39,822","3,289,764",1.21
Virginia,12/1/2001,"10,210",11/24/2001,"51,724","3,289,764",1.57
Virginia,12/8/2001,"9,080",12/1/2001,"47,913","3,289,764",1.46
Virginia,12/15/2001,"9,724",12/8/2001,"45,467","3,289,764",1.38
Virginia,12/22/2001,"19,300",12/15/2001,"45,703","3,289,764",1.39
Virginia,12/29/2001,"14,056",12/22/2001,"48,286","3,289,764",1.47
Virginia,1/5/2002,"11,049",12/29/2001,"62,488","3,289,764",1.9
Virginia,1/12/2002,"17,904",1/5/2002,"77,427","3,298,673",2.35
Virginia,1/19/2002,"9,477",1/12/2002,"60,249","3,298,673",1.83
Virginia,1/26/2002,"8,379",1/19/2002,"58,774","3,298,673",1.78
Virginia,2/2/2002,"9,568",1/26/2002,"59,034","3,298,673",1.79
Virginia,2/9/2002,"8,170",2/2/2002,"59,461","3,298,673",1.8
Virginia,2/16/2002,"6,591",2/9/2002,"59,560","3,298,673",1.81
Virginia,2/23/2002,"6,329",2/16/2002,"58,876","3,298,673",1.78
Virginia,3/2/2002,"7,099",2/23/2002,"57,126","3,298,673",1.73
Virginia,3/9/2002,"6,478",3/2/2002,"57,948","3,298,673",1.76
Virginia,3/16/2002,"6,105",3/9/2002,"56,404","3,298,673",1.71
Virginia,3/23/2002,"6,543",3/16/2002,"56,563","3,298,673",1.71
Virginia,3/30/2002,"6,326",3/23/2002,"55,474","3,298,673",1.68
Virginia,4/6/2002,"6,445",3/30/2002,"56,131","3,298,673",1.7
Virginia,4/13/2002,"7,515",4/6/2002,"55,163","3,301,049",1.67
Virginia,4/20/2002,"6,338",4/13/2002,"52,169","3,301,049",1.58
Virginia,4/27/2002,"5,209",4/20/2002,"53,090","3,301,049",1.61
Virginia,5/4/2002,"5,701",4/27/2002,"51,077","3,301,049",1.55
Virginia,5/11/2002,"7,125",5/4/2002,"50,852","3,301,049",1.54
Virginia,5/18/2002,"6,914",5/11/2002,"50,273","3,301,049",1.52
Virginia,5/25/2002,"5,940",5/18/2002,"51,994","3,301,049",1.58
Virginia,6/1/2002,"4,656",5/25/2002,"49,227","3,301,049",1.49
Virginia,6/8/2002,"6,451",6/1/2002,"49,697","3,301,049",1.51
Virginia,6/15/2002,"5,891",6/8/2002,"50,382","3,301,049",1.53
Virginia,6/22/2002,"7,368",6/15/2002,"49,427","3,301,049",1.5
Virginia,6/29/2002,"6,834",6/22/2002,"49,958","3,301,049",1.51
Virginia,7/6/2002,"9,416",6/29/2002,"47,058","3,301,049",1.43
Virginia,7/13/2002,"11,908",7/6/2002,"56,896","3,290,896",1.73
Virginia,7/20/2002,"7,283",7/13/2002,"54,370","3,290,896",1.65
Virginia,7/27/2002,"6,313",7/20/2002,"50,223","3,290,896",1.53
Virginia,8/3/2002,"5,739",7/27/2002,"49,718","3,290,896",1.51
Virginia,8/10/2002,"5,851",8/3/2002,"49,514","3,290,896",1.5
