var_code,var_label,data_type,level,val_min,val_max,var_relabel,val_label,recode,val_length,val_na
PUMA,"Public use microdata area code (PUMA) based on 2020 Census definition (areas with population of 100,000 or more, use with STATE for unique code)",chr,NA,100,81003,,Public use microdata area codes,FALSE,5,NA
BDSP,Number of bedrooms,num,housing,bb,bb,,N/A (GQ),FALSE,NA,NA
BDSP,Number of bedrooms,num,housing,0,99,,0 to 99 bedrooms (Top-coded),FALSE,NA,NA
HISPEED,"Broadband (high speed) Internet service such as cable, fiber optic, or DSL service",chr,housing,b,b,,N/A (GQ/vacant/no paid access to the internet),TRUE,1,0
HISPEED,"Broadband (high speed) Internet service such as cable, fiber optic, or DSL service",chr,housing,1,1,,Yes,TRUE,1,0
HISPEED,"Broadband (high speed) Internet service such as cable, fiber optic, or DSL service",chr,housing,2,2,,No,TRUE,1,0
HISPEED,"Broadband (high speed) Internet service such as cable, fiber optic, or DSL service",chr,housing,8,8,,Suppressed for data year 2023 for select PUMAs,TRUE,1,0
TEN,Tenure,chr,housing,b,b,,N/A (GQ/vacant),TRUE,1,0
TEN,Tenure,chr,housing,1,1,Owner,Owned with mortgage or loan (include home equity loans),TRUE,1,0
TEN,Tenure,chr,housing,2,2,Owner,Owned free and clear,TRUE,1,0
TEN,Tenure,chr,housing,3,3,Renter,Rented,TRUE,1,0
TEN,Tenure,chr,housing,4,4,Renter,Occupied without payment of rent,TRUE,1,0
GRPIP,Gross rent as a percentage of household income past 12 months,num,housing,bbb,bbb,,N/A (GQ/vacant/owned or being bought/occupied without rent payment/no household income),FALSE,NA,NA
GRPIP,Gross rent as a percentage of household income past 12 months,num,housing,1,100,,1 percent to 100 percent,FALSE,NA,NA
GRPIP,Gross rent as a percentage of household income past 12 months,num,housing,101,101,,101 percent or more,FALSE,NA,NA
HINCP,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",num,housing,bbbbbbb,bbbbbbb,,N/A (GQ/vacant),FALSE,NA,NA
HINCP,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",num,housing,0,0,,No household income,FALSE,NA,NA
HINCP,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",num,housing,-59999,-59999,,"Loss of -$59,999 or more",FALSE,NA,NA
HINCP,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",num,housing,-59998,-1,,"Loss of $1 to -$59,998",FALSE,NA,NA
HINCP,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",num,housing,1,9999999,,Total household income in dollars (Components are rounded),FALSE,NA,NA
MV,When moved into this house or apartment,chr,housing,b,b,,N/A (GQ/vacant),TRUE,1,0
MV,When moved into this house or apartment,chr,housing,1,1,,12 months or less,TRUE,1,0
MV,When moved into this house or apartment,chr,housing,2,2,,13 to 23 months,TRUE,1,0
MV,When moved into this house or apartment,chr,housing,3,3,,2 to 4 years,TRUE,1,0
MV,When moved into this house or apartment,chr,housing,4,4,,5 to 9 years,TRUE,1,0
MV,When moved into this house or apartment,chr,housing,5,5,,10 to 19 years,TRUE,1,0
MV,When moved into this house or apartment,chr,housing,6,6,,20 to 29 years,TRUE,1,0
MV,When moved into this house or apartment,chr,housing,7,7,,30 years or more,TRUE,1,0
NOC,Number of own children in household (unweighted),num,housing,bb,bb,,N/A (GQ/vacant),FALSE,NA,NA
NOC,Number of own children in household (unweighted),num,housing,0,0,,No own children,FALSE,NA,NA
NOC,Number of own children in household (unweighted),num,housing,1,19,,Number of own children in household,FALSE,NA,NA
OCPIP,Selected monthly owner costs as a percentage of household income during the past 12 months,num,housing,bbb,bbb,,N/A (GQ/vacant/not owned or being bought/ no household income),FALSE,NA,NA
OCPIP,Selected monthly owner costs as a percentage of household income during the past 12 months,num,housing,1,100,,1 percent to 100 percent,FALSE,NA,NA
OCPIP,Selected monthly owner costs as a percentage of household income during the past 12 months,num,housing,101,101,,101 percent or more,FALSE,NA,NA
WIF,Workers in family during the past 12 months,chr,housing,b,b,,N/A (GQ/vacant/non-family household),TRUE,1,-1
WIF,Workers in family during the past 12 months,chr,housing,0,0,,No workers,TRUE,1,-1
WIF,Workers in family during the past 12 months,chr,housing,1,1,Sole worker,1 worker,TRUE,1,-1
WIF,Workers in family during the past 12 months,chr,housing,2,2,Multiple workers,2 workers,TRUE,1,-1
WIF,Workers in family during the past 12 months,chr,housing,3,3,Multiple workers,3 or more workers in family,TRUE,1,-1
AGEP,Age,num,person,0,0,,Under 1 year,FALSE,NA,NA
AGEP,Age,num,person,1,99,,1 to 99 years (Top-coded),FALSE,NA,NA
COW,Class of worker,chr,person,b,b,,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),TRUE,1,0
COW,Class of worker,chr,person,1,1,For-profit,"Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions",TRUE,1,0
COW,Class of worker,chr,person,2,2,Non-profit,"Employee of a private not-for-profit, tax-exempt, or charitable organization",TRUE,1,0
COW,Class of worker,chr,person,3,3,Local government,"Local government employee (city, county, etc.)",TRUE,1,0
COW,Class of worker,chr,person,4,4,State government,State government employee,TRUE,1,0
COW,Class of worker,chr,person,5,5,Federal government,Federal government employee,TRUE,1,0
COW,Class of worker,chr,person,6,6,Self-employed,"Self-employed in own not incorporated business, professional practice, or farm",TRUE,1,0
COW,Class of worker,chr,person,7,7,Self-employed,"Self-employed in own incorporated business, professional practice or farm",TRUE,1,0
COW,Class of worker,chr,person,8,8,Other,Working without pay in family business or farm,TRUE,1,0
COW,Class of worker,chr,person,9,9,Other,Unemployed and last worked 5 years ago or earlier or never worked,TRUE,1,0
JWMNP,Travel time to work,num,person,bbb,bbb,,N/A (not a worker or worker who worked at home),FALSE,NA,NA
JWMNP,Travel time to work,num,person,1,200,,1 to 200 minutes to get to work (Top-coded),FALSE,NA,NA
JWMNP,Travel time to work,num,person,888,888,,Suppressed for data year 2023 for select PUMAs,FALSE,NA,NA
JWRIP,Vehicle occupancy,num,person,bb,bb,,"N/A (not a worker or worker whose means of transportation to work was not car, truck, or van)",FALSE,NA,NA
JWRIP,Vehicle occupancy,num,person,1,1,Drove alone,Drove alone,FALSE,NA,NA
JWRIP,Vehicle occupancy,num,person,2,2,Carpool,In 2-person carpool,FALSE,NA,NA
JWRIP,Vehicle occupancy,num,person,3,3,Carpool,In 3-person carpool,FALSE,NA,NA
JWRIP,Vehicle occupancy,num,person,4,4,Carpool,In 4-person carpool,FALSE,NA,NA
JWRIP,Vehicle occupancy,num,person,5,5,Carpool,In 5-person carpool,FALSE,NA,NA
JWRIP,Vehicle occupancy,num,person,6,6,Carpool,In 6-person carpool,FALSE,NA,NA
JWRIP,Vehicle occupancy,num,person,7,7,Carpool,In 7-person carpool,FALSE,NA,NA
JWRIP,Vehicle occupancy,num,person,8,8,Carpool,In 8-person carpool,FALSE,NA,NA
JWRIP,Vehicle occupancy,num,person,9,9,Carpool,In 9-person carpool,FALSE,NA,NA
JWRIP,Vehicle occupancy,num,person,10,10,Carpool,In 10-person or more carpool (Top-coded),FALSE,NA,NA
JWTRNS,Means of transportation to work,chr,person,bb,bb,,"N/A (not a worker-not in the labor force, including persons under 16 years; unemployed; employed, with a job but not at work; Armed Forces, with a job but not at work)",TRUE,2,0
JWTRNS,Means of transportation to work,chr,person,1,1,Private vehicle,"Car, truck, or van",TRUE,2,0
JWTRNS,Means of transportation to work,chr,person,2,2,Public transit,Bus,TRUE,2,0
JWTRNS,Means of transportation to work,chr,person,3,3,Public transit,Subway or elevated rail,TRUE,2,0
JWTRNS,Means of transportation to work,chr,person,4,4,Public transit,Long-distance train or commuter rail,TRUE,2,0
JWTRNS,Means of transportation to work,chr,person,5,5,Public transit,"Light rail, streetcar, or trolley",TRUE,2,0
JWTRNS,Means of transportation to work,chr,person,6,6,Public transit,Ferryboat,TRUE,2,0
JWTRNS,Means of transportation to work,chr,person,7,7,Private vehicle,Taxicab,TRUE,2,0
JWTRNS,Means of transportation to work,chr,person,8,8,Private vehicle,Motorcycle,TRUE,2,0
JWTRNS,Means of transportation to work,chr,person,9,9,Bicycle,Bicycle,TRUE,2,0
JWTRNS,Means of transportation to work,chr,person,10,10,Walked,Walked,TRUE,2,0
JWTRNS,Means of transportation to work,chr,person,11,11,Worked from home,Worked from home,TRUE,2,0
JWTRNS,Means of transportation to work,chr,person,12,12,Other,Other method,TRUE,2,0
WAGP,Wages or salary income past 12 months (use ADJINC to adjust WAGP to constant dollars),num,person,bbbbbb,bbbbbb,,N/A (less than 15 years old),FALSE,NA,NA
WAGP,Wages or salary income past 12 months (use ADJINC to adjust WAGP to constant dollars),num,person,0,0,,None,FALSE,NA,NA
WAGP,Wages or salary income past 12 months (use ADJINC to adjust WAGP to constant dollars),num,person,4,999999,,$4 to 999999 (Rounded and top-coded),FALSE,NA,NA
WKHP,Usual hours worked per week past 12 months,num,person,bb,bb,,N/A (less than 16 years old/did not work during the past 12 months),FALSE,NA,NA
WKHP,Usual hours worked per week past 12 months,num,person,1,98,,1 to 98 usual hours,FALSE,NA,NA
WKHP,Usual hours worked per week past 12 months,num,person,99,99,,99 or more usual hours,FALSE,NA,NA
DIS,Disability recode,chr,person,1,1,,With a disability,TRUE,1,NA
DIS,Disability recode,chr,person,2,2,,Without a disability,TRUE,1,NA
ESR,Employment status recode,chr,person,b,b,,N/A (less than 16 years old),TRUE,1,0
ESR,Employment status recode,chr,person,1,1,,"Civilian employed, at work",TRUE,1,0
ESR,Employment status recode,chr,person,2,2,,"Civilian employed, with a job but not at work",TRUE,1,0
ESR,Employment status recode,chr,person,3,3,,Unemployed,TRUE,1,0
ESR,Employment status recode,chr,person,4,4,,"Armed forces, at work",TRUE,1,0
ESR,Employment status recode,chr,person,5,5,,"Armed forces, with a job but not at work",TRUE,1,0
ESR,Employment status recode,chr,person,6,6,,Not in labor force,TRUE,1,0
MIGPUMA,Migration PUMA based on 2020 Census definition,chr,person,bbbbb,bbbbb,,N/A (person less than 1 year old/lived in same house 1 year ago),TRUE,5,0
MIGPUMA,Migration PUMA based on 2020 Census definition,chr,person,1,1,,Did not live in the United States or in Puerto Rico one year ago,TRUE,5,0
MIGPUMA,Migration PUMA based on 2020 Census definition,chr,person,2,2,,Lived in Puerto Rico one year ago and current residence is in the United States,TRUE,5,0
MIGPUMA,Migration PUMA based on 2020 Census definition,chr,person,100,81000,,Assigned Migration PUMA. Use with MIGSP.,TRUE,5,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,bbbbbbbb,bbbbbbbb,,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,111,111,,AGR-Crop Production,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,112,112,,AGR-Animal Production And Aquaculture,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,1133,1133,,AGR-Logging,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,113M,113M,,AGR-Forestry Except Logging,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,114,114,,"AGR-Fishing, Hunting And Trapping",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,115,115,,AGR-Support Activities For Agriculture And Forestry,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,211,211,,EXT-Oil And Gas Extraction,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,2121,2121,,EXT-Coal Mining,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,2122,2122,,EXT-Metal Ore Mining,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,2123,2123,,EXT-Nonmetallic Mineral Mining And Quarrying,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,213,213,,EXT-Support Activities For Mining,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,2211P,2211P,,"UTL-Electric Power Generation, Transmission And Distribution",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,2212P,2212P,,UTL-Natural Gas Distribution,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,22132,22132,,UTL-Sewage Treatment Facilities,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,2213M,2213M,,"UTL-Water Supply And Irrigation Systems, And Steam And Air-conditioning Supply",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,221MP,221MP,,"UTL-Electric And Gas, And Other Combinations",TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,22S,22S,,UTL-Not Specified Utilities,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,23,23,,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3113,3113,,MFG-Sugar And Confectionery Products,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3114,3114,,MFG-Fruit And Vegetable Preserving And Specialty Food,TRUE,8,0
NAICSP,North American Industry Classification System (NAICS) recode for 2023 and later based on 2022 NAICS codes,chr,person,3115,3115,,MFG-Dairy Product,TRUE,8,0
