HUD Property ID,HUD Subsidy ID,NHPD Property ID,NHPD Subsidy ID,Subsidy Status,Subsidy Name,Subsidy Subname,Start Date,End Date,Assisted Units,Property Name,Street Address,City,State,Zip Code,Longitude,Latitude,Owner Name,Owner Type,Manager Name,Manager Type,0-1 Bedroom Units,Two Bedroom Units,Three+ Bedroom Units,Target Population,Earliest Construction Date,Latest Construction Date,Rent to FMR Ratio,Known Total Units,Renewal Type Name,Inactive Status Description,Construction Type,Unpaid Principal Balance,Renewal Name,Renewal ID,SOA Code
800022066,5135375,1007634,564fa70f-cb68-e711-806a-005056ba3ab9,Inactive,HUD Insured,221(D)(3) MKT RATE MODERATE INC/ DISP F,01/01/1987,12/01/2026,45,BRIARCLIFFE APARTMENTS,800 W RIDGEWAY ST,CLIFTON FORGE,VA,24422,,,,,,,,,,,,,,45,,Terminated Mortgage,,,,,MMI
800021727,VA36T831052,1007772,804fa70f-cb68-e711-806a-005056ba3ab9,Active,Section 8,202/8 NC,02/18/2013,02/17/2033,112,CALVARY TOWERS,850 E VIRGINIA BEACH BLVD,NORFOLK,VA,23504,-76.277168,36.855735,CALVARY TOWERS INC,Non-Profit,HARBOR GROUP MANAGEMENT CO,Profit Motivated,112,0,0,Elderly,1/1/1985,1/1/1985,108.44,112,2: Request Renewal Without Restructuring at or Below Comparable Rents,,,,Amend Rents,17,
800021727,5111256,1007772,844fa70f-cb68-e711-806a-005056ba3ab9,Active,HUD Insured,223(A)(7) REFI OF 223(F) APTS,05/01/2013,12/01/2026,112,CALVARY TOWERS,850 E VIRGINIA BEACH BLVD,NORFOLK,VA,23504,-76.277168,36.855735,,,HARBOR GROUP MANAGEMENT COMPANY,,,,,Elderly,,,,112,,,,1644111.06,,,REK
800053926,44191,1008304,ff0661a5-cb68-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,02/01/1976,01/01/2016,203,CULPEPPER GARDEN,4435 N PERSHING DR,ARLINGTON,VA,22003,,,,,,,,,,,,,,203,,Terminated Mortgage,,,,,VAR
,977648668017,1119825,8cd1d81c-cc68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,11/29/1994,12/31/2046,4,LANDINGS APARTMENTS,448 DEPOT ST W,CHRISTIANSBURG,VA,24073,-80.416299,37.126832,LANDINGS LANDINGS,Limited Profit,COMMUNITY HOUSING PARTNERS,,14,4,0,Family,,,,18,,Missing from Subsequent Updates,,,,,
,425751937017,1114460,b2d1d81c-cc68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,06/01/1987,12/31/2040,0,WINDSOR CT II APARTMENTS,101 GEORGIE D TYLER ST,WINDSOR,VA,23487,-76.746513,36.82436,WINDSOR II LP,Limited Profit,TM ASSOCIATES MANAGEMENT INC,,24,0,0,Family,,,,24,,Missing from Subsequent Updates,,,,,
800022057,5144201,1017051,d39436e2-d068-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,01/01/1977,12/01/2016,104,RUFFIN RD APARTMENTS,2201 RUFFIN RD,RICHMOND,VA,23234,,,,,,,,,,,,,,104,,Terminated Mortgage,,,,,VAR
800021821,5144047,1017057,ed9436e2-d068-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,05/01/1972,04/01/2012,144,FERNCLIFF APARTMENTS,3533 FERNCLIFF AVE NW,ROANOKE,VA,24017,,,,,,,,,,,,,,144,,Terminated Mortgage,,,,,VAR
,5144022,1017524,24e2a57d-d168-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,05/01/1971,04/01/2011,48,FAIRMONT APARTMENTS,130 POPLAR CREEK ST,SOUTH BOSTON,VA,24592,,,,,,,,,,,,,,48,,Terminated Mortgage,,,,,VAR
800213351,VA36S001001,1021074,e5024c57-d468-e711-806a-005056ba3ab9,Active,Section 8,PRAC/202,07/01/2021,06/30/2046,23,LEAFLIN LANE APARTMENTS,1977 LEAFLIN LN,CULPEPER,VA,22701,-78.001029,38.455806,RAPPANHANNOCK ELDER HOUSING CORPORATION,Non-Profit,RAPPAHANNOCK-RAPIDAN COMMUNITY,Profit Motivated,23,0,0,Elderly,1/1/2004,1/1/2004,48.66,23,,,,,,0,
800218043,VA39Q021001,1021195,6a3f4163-d468-e711-806a-005056ba3ab9,Active,Section 8,PRAC/811,07/01/2021,06/30/2046,9,CLA HOMES I,6916 VANCOUVER RD,SPRINGFIELD,VA,22152,-77.228866,38.765552,CLA HOMES I CORP,Non-Profit,COMMUNITY LIVING ALTERNATIVES INC,Non-Profit,9,0,0,Disabled,1/1/2004,1/1/2004,57.94,9,,,,,,0,
800215394,VA36Q011006,1021234,497c3969-d468-e711-806a-005056ba3ab9,Active,Section 8,PRAC/811,04/01/2021,03/31/2044,6,WELLMAN HOUSE,112 WELLMAN DR,MILLBORO,VA,24474,-79.606124,37.970874,WELLMAN HOUSE GROUP HOME INC,Non-Profit,ROCKBRIDGE AREA COMMUNITY SERVICES,Profit Motivated,6,0,0,Disabled,1/1/2002,1/1/2002,118.32,6,,,,,,0,
800021749,800021749,1023494,34df813a-d568-e711-806a-005056ba3ab9,Active,Section 202,202/8 Direct Loan/ Elderly-Handicapped,04/11/1984,09/01/2023,6,CLEVELAND CHESHIRE HOME,101 S CLEVELAND ST,ARLINGTON,VA,22204,,,CHESHIRE HOMES OF ARLINGTON COUNTY VIRGINIA INC,Non-Profit,,,,,,Elderly or disabled,,,,6,,,,41344.35,,,ZPF
800021796,800021796,1023495,42df813a-d568-e711-806a-005056ba3ab9,Active,Section 202,202/8 Direct Loan/ Elderly-Handicapped,05/27/1988,09/01/2027,13,EASTERN SHORE ARC HOUSE,36128 INDIAN LN,BELLE HAVEN,VA,23306,,,EASTERN SHORE ARC HOUSE INC`,Non-Profit,,,,,,Elderly or disabled,,,,13,,,,174706.13,,,ZPF
800021809,800021809,1023496,50df813a-d568-e711-806a-005056ba3ab9,Active,Section 202,202/8 Direct Loan/ Elderly-Handicapped,01/27/1984,06/01/2023,14,EPHPHATHA VILLAGE,1014 RIDGE ST,CHARLOTTESVILLE,VA,22902,,,EPHPHATHA VILLAGE INC,Non-Profit,,,,,,Elderly or disabled,,,,14,,,,58000.72,,,ZPF
800021873,800021873,1023497,5edf813a-d568-e711-806a-005056ba3ab9,Inactive,Section 202,202/8 Direct Loan/ Elderly-Handicapped,07/01/1986,02/01/2026,93,HERITAGE ACRES VI,815 RANDOLPH AVENUE,CAPE CHARLES,VA,23310,,,HERITAGE ACRES I LIMITED,Non-Profit,,,,,,Elderly or disabled,,,,93,,Missing from Subsequent Updates,,1549405.61,,,ZPF
800021961,800021961,1023498,6cdf813a-d568-e711-806a-005056ba3ab9,Inactive,Section 202,202/8 Direct Loan/ Elderly-Handicapped,11/01/1983,07/01/2023,90,MOUNT HERMON ELDERLY,2400 CUTHERELL ST,PORTSMOUTH,VA,23707,,,MOUNT HERMAN COMMUNITY IMPROVEMENT FOUNDATION,Non-Profit,,,,,,Elderly or disabled,,,,91,,Missing from Subsequent Updates,,915433.21,,,ZPF
800022006,800022006,1023499,7adf813a-d568-e711-806a-005056ba3ab9,Active,Section 202,202/8 Direct Loan/ Elderly-Handicapped,06/04/1986,05/01/2022,13,PARKVIEW OF RADFORD,101 DUNCAN LN,RADFORD,VA,24141,,,PARKVIEW OF RADFORD INC,Non-Profit,,,,,,Elderly or disabled,,,,13,,,,17783.4,,,ZPF
800022055,800022055,1023500,5d1b7a40-d568-e711-806a-005056ba3ab9,Active,Section 202,202/8 Direct Loan/ Elderly-Handicapped,04/27/1984,06/01/2022,6,ROOSEVELT STREET GROUP HOME,2027 N ROOSEVELT ST,ARLINGTON,VA,22205,,,COMMUNITY RESIDENCES INC,Non-Profit,,,,,,Elderly or disabled,,,,6,,,,14161.67,,,ZPF
800022101,800022101,1023501,6b1b7a40-d568-e711-806a-005056ba3ab9,Active,Section 202,202/8 Direct Loan/ Elderly-Handicapped,02/25/1994,11/01/2032,12,THE NEIGHBOURS PLACE,22501 THOMAS WOODS TRL,ZUNI,VA,23898,,,ISLE OF WIGHT OPPORTUNITIES FOR THE DISABLED,Non-Profit,,,,,,Elderly or disabled,,,,12,,,,240490.71,,,ZPF
800022114,800022113,1023502,7d1b7a40-d568-e711-806a-005056ba3ab9,Inactive,Section 202,202/8 Direct Loan/ Elderly-Handicapped                      ,07/08/1986,03/01/2025,80,TUCKER HOUSE I,7700 ARMFIELD AVE,NORFOLK,VA,23505,,,URBAN MINISTRY HOUSING DEVELOPMENT CORP,Non-Profit,,,,,,Elderly or disabled,,,,80,,Missing from Subsequent Updates,,874550.12,,,ZPF
800022114,800022114,1023502,811b7a40-d568-e711-806a-005056ba3ab9,Inactive,Section 202,202/8 Direct Loan/ Elderly-Handicapped                      ,07/27/1989,10/01/2028,46,TUCKER HOUSE II,7700 ARMFIELD AVE,NORFOLK,VA,23505,,,URBAN MINISTRY HOUSING DEVELOPMENT CORP,Non-Profit,,,,,,Elderly or disabled,,,,47,,Missing from Subsequent Updates,,796281.9,,,ZPF
,VAA1999373,1105273,a68d7495-d668-e711-806a-005056ba3ab9,Active,LIHTC,9% Tax Credit,01/01/1999,01/01/2029,168,NORTH POINTE,201 N POINTE LN,DANVILLE,VA,,,,TWIN BRANCH LP,,,,18,108,42,Family,,,,168,,,New Construction,,,,
,VAA2003610,1105668,411b35e9-d668-e711-806a-005056ba3ab9,Active,LIHTC,4% Tax Credit,01/01/2003,01/01/2033,88,RIVERVIEW,207 ARCHER AVE,COLONIAL HEIGHTS,VA,23834,-77.407997,37.236789,RV LP,,,,,,,Family,,,,88,,,New Construction,,,,
800022108,5144034,1106585,6a7d74cc-d768-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,01/01/1972,09/01/2011,100,TINKER CREEK MANOR APARTMENTS,2018 TINKER DR NE,ROANOKE,VA,24012,,,,,,,,,,,,,,100,,Terminated Mortgage,,,,,VAR
800022146,44007,1106910,394a42fc-d768-e711-806a-005056ba3ab9,Inactive,HUD Insured,236(J)(1)/ LOWER INCOME FAMILIES,06/01/1971,05/01/2011,74,WEXFORD MANOR APARTMENTS,2802 HOLLYWOOD RD,FALLS CHURCH,VA,22030,,,,,,,,,,,,,,74,,Terminated Mortgage,,,,,VAR
,VAA2001496,1107984,df3d63f1-d868-e711-806a-005056ba3ab9,Inactive,LIHTC,4% Tax Credit,01/01/2001,01/01/2031,52,SMOKEY RIDGE,1750 OLD FARM,CHRISTIANSBURG,VA,,,,SMOKE RIDGE LLC,,,,0,46,6,Family,,,,52,,Missing from Subsequent Updates,Acquisition and Rehab,,,,
,828056059015,1120069,66205aa4-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,08/11/1987,12/31/2037,17,WOODSTONE VILAGE II,273 WOODSTONE DR,BIG STONE GAP,VA,24219,-82.781001,36.846092,WV II LP,Limited Profit,BIG STONE GAP VIRGINIA REDEV AND,,18,0,0,Elderly,,,,18,,Missing from Subsequent Updates,,,,,
,501696202016,1120069,6a205aa4-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,10/28/1987,12/31/2037,24,WOODSTONE VILLAGE I,273 WOODSTONE DR E,BIG STONE GAP,VA,24219,-82.781001,36.846092,WV I LP,Limited Profit,BIG STONE GAP VIRGINIA REDEV AND,,36,0,0,Family,,,,36,,Missing from Subsequent Updates,,,,,
,692234395010,1118212,7a205aa4-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,10/18/1985,12/31/2036,33,STEVENS WDS III APARTMENTS,25090 OAK TRAIL,COURTLAND,VA,23837,-77.073835,36.723968,STEVENS WDS III LP,Limited Profit,TM ASSOCIATES MANAGEMENT INC,,36,0,0,Family,,,,36,,Missing from Subsequent Updates,,,,,
,959096899012,1121809,82205aa4-dd68-e711-806a-005056ba3ab9,Active,RHS 515,515 Rural Housing,06/01/1977,10/13/2041,46,BRIARWOOD APARTMENTS PHASE I,BRIARWOOD CIRCLE,FISHERSVILLE,VA,22939,-79,38.11264,KNOPP ENTERPRISES INCORPORATED,Limited Profit,KNOPP ENTERPRISES INCORPORATED,,18,30,0,Family,,,,48,,,,,,,
,959096899024,1121809,86205aa4-dd68-e711-806a-005056ba3ab9,Active,RHS 515,515 Rural Housing,01/23/1978,10/13/2041,41,BRIARWOOD II APARTMENTS,BRIARWOOD CIRCLE,FISHERSVILLE,VA,22939,-79,38.11264,KNOPP ENTERPRISES INCORPORATED,Limited Profit,KNOPP ENTERPRISES INCORPORATED,,44,44,0,Family,,,,44,,,,,,,
,943309111013,1119814,8e205aa4-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,02/13/1985,12/31/2040,23,RUGBY SQUARE II %HAI MANAGEMENT INC,101 MADISON LANE,LURAY,VA,22835,-78.440534,38.662725,RUGBY SQUARE II,Limited Profit,HUMPHREY MANAGEMENT,,44,0,0,Family,,,,44,,Missing from Subsequent Updates,,,,,
,502901627013,1119624,92205aa4-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,09/30/1982,12/31/2044,38,MARTINS LANDING II,1151 E CHURCH ST,MARTINSVILLE,VA,24115,-79.844958,36.69328,MARTINSVILLE HOUSNG LP,Limited Profit,PARTNERSHIP PROPERTY MANAGEMENT,,38,0,0,Elderly,,,,38,,Missing from Subsequent Updates,,,,,
,805559948015,1119624,96205aa4-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,06/30/1994,12/31/2031,0,MARTINS LANDING,1151 E CHURCH ST,MARTINSVILLE,VA,24112,-79.844958,36.69328,HENRY HOUSING PARTNERSHIP,Limited Profit,PARTNERSHIP PROPERTY MANAGEMENT,,52,6,0,Family,,,,58,,Missing from Subsequent Updates,,,,,
,386091210014,1113490,9a205aa4-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,12/17/1984,12/31/2039,7,CEDAR CREEK II APARTMENTS,7601 MAIN STREET,MIDDLETOWN,VA,22645,-78.274125,39.032346,CEDAR CREEK LP PHII,Limited Profit,TM ASSOCIATES MANAGEMENT INC,,37,5,0,Family,,,,42,,Missing from Subsequent Updates,,,,,
,549568673017,1113490,9e205aa4-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,04/12/1989,12/31/2045,0,CEDAR CREEK I,7601 MAIN STREET,MIDDLETOWN,VA,22645,-78.274125,39.032346,CEDAR CREEK I LP,Limited Profit,TM ASSOCIATES MANAGEMENT INC,,39,7,0,Family,,,,46,,Missing from Subsequent Updates,,,,,
,135357533011,1109155,aa205aa4-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,01/12/1987,12/31/2044,40,NEW RIVER OVERLOOK,300 JEFFRIES DRIVE,RADFORD,VA,24141,-80.58033,37.105888,NEW RIVER OVERLOOK VA LLC,Limited Profit,GEM MANAGEMENT,,40,0,0,Elderly,,,,40,,Missing from Subsequent Updates,,,,,
,131912388019,1114591,771f57aa-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,04/15/1985,12/31/2045,31,NEW SURRY VILLAGE APARTMENTS,82 SURRY VILLAGE DR,SPRING GROVE,VA,23881,-76.847117,37.149834,NEW SURRY VILLAGE II LP,Limited Profit,TM ASSOCIATES MANAGEMENT INC,,32,0,0,Family,,,,32,,Missing from Subsequent Updates,,,,,
,455199008010,1114591,7b1f57aa-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,12/02/1992,12/31/2035,46,SURRY VILL I APARTMENTS,82 SURRY VILLAGE DR,SPRING GROVE,VA,23881,-76.847117,37.149834,SURRY VILLAGE I LIMITED PARTNERSHIP,Limited Profit,TM ASSOCIATES MANAGEMENT INC,,48,0,0,Family,,,,48,,Missing from Subsequent Updates,,,,,
,19163121015,1110034,8b1f57aa-dd68-e711-806a-005056ba3ab9,Inactive,RHS 515,515 Rural Housing,11/27/1990,12/31/2040,60,ASPEN SQUARE APARTMENTS,61 MAPLEWOOD DR,TAZEWELL,VA,24651,-81.972347,37.018207,ASPEN SQUARE VA,Limited Profit,GEM MANAGEMENT,,60,0,0,Elderly,,,,60,,Missing from Subsequent Updates,,,,,
