gpin,parcel,year,land,improvement
8706-21-1944,9131 Rutland Road,2023,80000,215000
8706-21-1944,9131 Rutland Road,2022,75000,166800
8706-21-1944,9131 Rutland Road,2021,70000,146600
8706-21-1944,9131 Rutland Road,2020,65000,141000
8706-21-1944,9131 Rutland Road,2019,65000,141000
8706-21-1944,9131 Rutland Road,2018,55000,128300
8706-21-1944,9131 Rutland Road,2017,55000,119000
8706-21-1944,9131 Rutland Road,2016,55000,119000
8706-21-1944,9131 Rutland Road,2015,55000,119000
8706-21-1944,9131 Rutland Road,2014,55000,119000
8706-21-1944,9131 Rutland Road,2013,55000,119000
8706-21-1944,9131 Rutland Road,2012,55000,119000
8706-21-1944,9131 Rutland Road,2011,62000,129500
8706-21-1944,9131 Rutland Road,2010,62000,151200
8706-21-1874,9125 Rutland Road,2023,80000,240400
8706-21-1874,9125 Rutland Road,2022,75000,197200
8706-21-1874,9125 Rutland Road,2021,70000,175600
8706-21-1874,9125 Rutland Road,2020,65000,167100
8706-21-1874,9125 Rutland Road,2019,65000,167100
8706-21-1874,9125 Rutland Road,2018,55000,166400
8706-21-1874,9125 Rutland Road,2017,55000,146800
8706-21-1874,9125 Rutland Road,2016,55000,146800
8706-21-1874,9125 Rutland Road,2015,55000,146800
8706-21-1874,9125 Rutland Road,2014,55000,146800
8706-21-1874,9125 Rutland Road,2013,55000,146800
8706-21-1874,9125 Rutland Road,2012,55000,146800
8706-21-1874,9125 Rutland Road,2011,62000,159700
8706-21-1874,9125 Rutland Road,2010,62000,179600
8706-22-1013,9135 Rutland Road,2023,80000,421900
8706-22-1013,9135 Rutland Road,2022,75000,345800
8706-22-1013,9135 Rutland Road,2021,70000,307000
8706-22-1013,9135 Rutland Road,2020,65000,295300
8706-22-1013,9135 Rutland Road,2019,65000,295300
8706-22-1013,9135 Rutland Road,2018,55000,280700
8706-22-1013,9135 Rutland Road,2017,55000,0
8706-22-1013,9135 Rutland Road,2016,55000,0
8706-22-1013,9135 Rutland Road,2015,55000,0
8706-22-1013,9135 Rutland Road,2014,55000,0
8706-22-1013,9135 Rutland Road,2013,55000,0
8706-22-1013,9135 Rutland Road,2012,55000,0
8706-22-1013,9135 Rutland Road,2011,62000,0
8706-22-1013,9135 Rutland Road,2010,62000,0
8706-22-0175,9143 Rutland Road,2023,80000,186500
8706-22-0175,9143 Rutland Road,2022,75000,154700
8706-22-0175,9143 Rutland Road,2021,70000,143800
8706-22-0175,9143 Rutland Road,2020,65000,142000
8706-22-0175,9143 Rutland Road,2019,65000,142000
8706-22-0175,9143 Rutland Road,2018,55000,128600
8706-22-0175,9143 Rutland Road,2017,55000,115800
8706-22-0175,9143 Rutland Road,2016,55000,115800
8706-22-0175,9143 Rutland Road,2015,55000,115800
8706-22-0175,9143 Rutland Road,2014,55000,115800
8706-22-0175,9143 Rutland Road,2013,55000,115800
8706-22-0175,9143 Rutland Road,2012,55000,115800
8706-22-0175,9143 Rutland Road,2011,62000,125500
8706-22-0175,9143 Rutland Road,2010,62000,145100
