year,funding_sources,project_name,project_address,type,units_affordable,units_rehab,units_psh,units_below30,units_below50,units_below60,units_below80,units_marketrate,amt_vhtf,amt_home,amt_nhtf,amt_psh,amt_other,tenure,dist_cong,dist_house,dist_senate,lat,long
2015-2016,VHTF,Columbia Hills ,"1000 S Frederick Street, Arlington, VA 22204-3225",General,97,0,0,0,49,48,0,0,750000,0,0,0,38609363,Rental,8,State House District 49,State Senate District 30,38.853607,-77.115366
2015-2016,VHTF,Powell Valley ,"195 Powell Valley Village Street, Jonesville, VA 24263-7986",General,34,34,0,0,0,34,0,0,235000,0,0,0,3005067,Rental,9,State House District 1,State Senate District 40,36.687222,-83.111653
2015-2016,VHTF,Ada Park ,"674 Summer Day Court, Newport News, VA 23601-2837",General,42,0,0,0,21,21,0,0,289304,0,0,0,7521985,Rental,3,State House District 95,State Senate District 2,37.056818,-76.458287
2015-2016,VHTF,Old Prices Fork,"4237 Prices Fork Road, Blacksburg, VA 24060-1895",General,16,0,0,0,2,8,0,6,1265250,,,,878000,Rental,9,State House District 7,State Senate District 21,37.208826,-80.49119
2015-2016,VHTF,Pathways,"10201 Fairfax Blvd, Fairfax, VA 22030-2209",Chronic Homeless,4,4,4,4,0,0,0,0,600000,0,0,0,400000,Rental,11,State House District 37,State Senate District 34,38.86094,-77.297322
2015-2016,VHTF,CR Independent,"14160 Newbrook Drive, Chantilly, VA 20151-2297",I/DD,7,7,7,2,3,0,0,0,456288,0,0,0,602712,Rental,10,State House District 67,State Senate District 34,38.875638,-77.435761
2015-2016,VHTF,Old Forest ,"2516 Old Forest Road, Lynchburg, VA 24501-2406",Disability,28,0,28,0,14,14,0,0,428903,0,0,0,5001578,Rental,6,State House District 23,State Senate District 23,37.412251,-79.199451
2015-2016,VHTF,Church Hill North 1B,"1611 N 31st Street, Richmond, VA 23223-5404",Senior,45,0,45,0,45,0,0,0,750000,0,0,0,7356571,Rental,4,State House District 70,State Senate District 16,37.540154,-77.401594
2015-2016,"HOME, VHTF",Cypress Landing ,"40 Knells Ridge Boulevard, Chesapeake, VA 23320-0000",Chronic Homeless/Disability,50,0,50,0,50,0,0,0,600000,650000,0,0,8366336,Rental,3,State House District 77,State Senate District 5,36.747459,-76.251225
2015-2016,VHTF,Brookland Park ,"1221 E. Brookland Park Plaza, Richmond, VA 23222-3112",Senior,77,77,77,0,77,0,0,0,500000,0,0,0,10793685,Rental,4,State House District 71,State Senate District 9,37.56967,-77.419026
2015-2016,"HOME, VHTF",New Clay ,"1125 W. Clay Street, Richmond, VA 23220-3100",Chronic Homeless/Disability,80,47,80,0,80,0,0,0,750000,685820,0,0,13410066,Rental,4,State House District 71,State Senate District 9,37.55336,-77.45061
2015-2016,VHTF,Lewinsville Senior,"1609 Great Falls Street, McLean, VA 22101-5025",Senior ,82,0,82,9,73,0,0,0,644576,0,0,0,21203344,Rental,10,State House District 48,State Senate District 32,38.926384,-77.195492
