year,program,funding_sources,project_name,project_address,type,units_affordable,units_rehab,units_psh,units_below30,units_below50,units_below60,units_below80,units_marketrate,amt_vhtf,amt_home,amt_nhtf,amt_psh,amt_hiee,amt_other,tenure
2013-2014,CLP,VHTF,Commerce Village,"181 Commerce Drive, Harrisonburg, VA 22802-4721",Chronic Homeless,56,0,56,0,0,0,0,0,750000,0,0,0,0,2000000,Rental
2013-2014,CLP,VHTF,Stonebriar Apartments,"16600 Broad Street, St. Paul, VA 24283-0000","Senior, Disability",24,0,0,0,0,0,24,0,200000,0,0,0,0,2349426,Rental
2013-2014,CLP,VHTF,Studios II,"5409 Hull Street Road, Richmond, VA 23224-2411","Homeless, Veterans",39,0,39,0,0,0,0,0,750000,0,0,0,0,5104676,Rental
2013-2014,CLP,VHTF,Crescent Square,"1333 Diamond Springs Road, Virginia Beach, VA 23455-3629",Homeless,80,0,80,0,0,0,0,0,750000,0,0,0,0,10341100,Rental
2013-2014,CLP,VHTF,Upper Street Apartments,"608 Upper St, Danville, VA 24541 ","Veterans, Disability, General",13,0,13,0,0,0,0,0,700000,0,0,0,0,1406000,Rental
2013-2014,CLP,VHTF,New Phoenix Village,"327 Charles Street, Newport News, VA 23608-1054","Senior, Disability",45,0,0,0,45,0,0,0,750000,0,0,0,0,5147181,Rental
2013-2014,CLP,VHTF,CR Independent Permanent Supportive Housing Program,"14160 Newbrook Drive, Chantilly VA, 20151","ID/DD, SMI, Homeless",5,0,5,0,0,0,0,0,743108,0,0,0,0,240892,Rental
2013-2014,CLP,VHTF,Langston Park Apartments,"1007 Langston Park Drive, Hopewell, VA 23860-5117",General,56,0,0,0,56,0,0,0,673000,0,0,0,0,8609654,Rental
2015-2016,CLP,VHTF,Ada Park ,"674 Summer Day Court, Newport News, VA 23601-2837",General,42,0,0,0,21,21,0,0,289304,0,0,0,0,7521985,Rental
2015-2016,CLP,VHTF,Brookland Park ,"1221 E. Brookland Park Plaza, Richmond, VA 23222-3112",Senior,77,77,77,0,77,0,0,0,500000,0,0,0,0,10793685,Rental
2015-2016,VCI,VHTF,Church Hill North 1B,"1611 N 31st Street, Richmond, VA 23223-5404",Senior,45,0,45,0,45,0,0,0,750000,0,0,0,0,7356571,Rental
2015-2016,CLP,VHTF,Columbia Hills ,"1000 S Frederick Street, Arlington, VA 22204-3225",General,97,0,0,0,49,48,0,0,750000,0,0,0,0,38609363,Rental
